method,dim,ndcg@10,ndcg@100,recall@10,recall@100,map
Base,4096,3.880048965852487,5.49602988940331,5.500421672609428,12.67108157365083,3.3754911200683533
PCA-Whitening,32,0.9195404014844071,2.373188177352797,1.7882418360125365,8.789375203611305,0.7922320433851999
Soft-Whitening,32,0.7114899353452634,1.6161218177206276,1.2252779985384998,5.653818092980732,0.6062227937808456
NCWP,32,1.475670018037645,2.288767584249878,2.5533313112930944,6.45085966021357,1.181140397316042
PCA-Whitening,64,2.9562094696282952,5.415484105817156,5.032407091408098,16.233361978279653,2.5148945245254004
Soft-Whitening,64,1.566842317416418,3.0444800694271668,2.63267341292819,9.614798466019717,1.3291453254118613
NCWP,64,2.5340968992011943,3.6055678053933766,3.3957199261423194,8.59977506192346,2.2144674240459605
PCA-Whitening,128,7.292024774824064,11.018127368704215,11.13923704995245,28.224597361012915,6.187172222924145
Soft-Whitening,128,3.3842159168072277,5.703630848393396,5.232750618100936,15.692344061832022,2.95301463285241
NCWP,128,4.118576032144268,5.3334249492487436,5.651273885350318,11.342433400988297,3.582341497154953
