method,dim,ndcg@10,ndcg@100,recall@10,recall@100,map
Base,2560,3.751742055937176,5.347594485333177,5.52202516379559,12.936223327169472,3.128632539778267
PCA-Whitening,32,1.6400177200104373,2.890344990856585,2.5942231865798746,8.635934125946426,1.3787151893422618
Soft-Whitening,32,1.17320102711271,2.245935436298762,1.8924780103124053,6.972977631666144,1.0187599823739766
NCWP,32,1.254748193303706,2.052485576361203,2.0449497424019714,5.69200279550598,1.0452652040307766
PCA-Whitening,64,4.023558887536552,6.283580049395714,6.180832761501912,16.74349079525378,3.4027238706287535
Soft-Whitening,64,2.461901328448535,4.0846539938396695,3.9920103815129204,11.721455710672975,2.0381594742371885
NCWP,64,2.423641164652727,3.5560113430574622,3.8044142693824217,9.284314205435368,2.0211576175154535
PCA-Whitening,128,8.513583363994568,11.730596685156799,12.616772188890105,27.415750752315176,7.181458866891183
Soft-Whitening,128,4.586172178348615,6.862228048781102,7.07345150213811,17.718324979201896,3.843645313969618
NCWP,128,3.6404638956501825,4.74892968770198,5.070429626245918,10.07260426641223,3.197040097157998
