method,dim,ndcg@10,ndcg@100,recall@10,recall@100,map
Base,4096,5.6790617660534695,7.778928675286833,8.95433725379279,19.095717349800836,4.786295139676057
PCA-Whitening,32,1.5894366950495449,3.2332898031065045,2.5569487983281087,10.338589420259112,1.4696979381906272
Soft-Whitening,32,1.2688995665771168,2.739380051427328,2.2766241622865944,9.547858674900418,1.1000510160158166
NCWP,32,1.1057535026128873,1.6968838982777261,1.8234064785788922,4.735370950888193,0.9155280189198284
PCA-Whitening,64,3.467423838592282,6.008677711088039,5.664293963749499,17.806479364555592,3.072304957278429
Soft-Whitening,64,2.5624784236466236,4.528956289330644,4.134961227520212,13.665488171840256,2.267310947816931
NCWP,64,1.9156570851037866,2.898275123894434,2.6202418271383787,7.4172637707120455,1.7283968749477379
PCA-Whitening,128,6.921275562031013,10.351519228377164,11.348724475766216,27.35771835544975,5.919281742375334
Soft-Whitening,128,4.414896429552876,7.019170322684356,7.189297695649784,19.675340388589028,3.8225987930822845
NCWP,128,2.8336645339881517,3.925001556929051,3.9871995820271686,9.136177041349455,2.5515567758653943
