method,dim,ndcg@10,ndcg@100,recall@10,recall@100,map
Base,2560,6.332818484971773,8.538716699498076,9.24736606406298,19.72805053385816,5.51616039357492
PCA-Whitening,32,2.838049861662322,4.764673205391778,4.855964362316449,14.398881215578129,2.3205422673114713
Soft-Whitening,32,2.422182354131846,4.062908070913843,4.2603530770499916,12.223049787478098,1.9647939287335006
NCWP,32,0.8353549084130558,1.4573808118690257,1.6562173458725182,4.864158829676071,0.6320236793029967
PCA-Whitening,64,5.0533568097752095,8.15085334526262,7.999455928221807,22.606449509353318,4.4544353354863855
Soft-Whitening,64,3.9239524002212534,6.2500100983503035,6.178400546821599,17.207546688036707,3.4121071259603912
NCWP,64,2.139428575630679,3.0735217856472756,3.330347813106434,8.024182713837885,1.8057627989250031
PCA-Whitening,128,9.153916731364207,13.05045994647798,14.287222759092089,32.906307697142545,7.8059688409246455
Soft-Whitening,128,6.612425126852031,9.388755563690978,10.289760451284952,23.749567885230316,5.627519765396176
NCWP,128,2.847457689873493,4.1591031460172125,4.112404836542768,10.616136736826393,2.521252882125915
