method,dim,ndcg@10,ndcg@100,recall@10,recall@100,map
Base,4096,8.631998134622387,12.028038134234144,13.304726767190674,28.963412803643802,7.2819803004895824
PCA-Whitening,32,1.7465351655240005,3.4117485277945456,2.803443481980537,10.997137286838923,1.4780823975841284
Soft-Whitening,32,1.7156263424047173,3.4352569108594384,2.8162763340819166,11.253444715908625,1.4642688662226275
NCWP,32,1.5363151635750434,2.220728118374239,2.446262431825473,5.896654409647672,1.297349704629796
PCA-Whitening,64,3.2856674485063078,6.283139061942649,5.1751149609667415,19.276568528252845,2.9119929846696513
Soft-Whitening,64,2.5765202196915604,5.356988706495577,3.893433857341461,16.723447924121647,2.4363563730460887
NCWP,64,2.9277431006039856,4.064301162787956,3.9287242006202545,9.37997170191588,2.630228603671661
PCA-Whitening,128,7.6865617354920355,12.044032629138178,11.423829619209792,31.56901820761301,6.738690962422355
Soft-Whitening,128,4.952271448212812,8.13132109535556,8.156881616939366,22.740713996729394,4.13187980892472
NCWP,128,4.46019029184578,5.690029616120816,5.918350978504973,11.907053485494295,3.8761290748398403
