method,dim,ndcg@10,ndcg@100,recall@10,recall@100,map
Base,2560,7.172547589071404,9.71959155338956,9.413728983026385,20.84211517801508,6.3744995042326975
PCA-Whitening,32,3.354827361727112,5.514239861533047,5.370548604427334,15.645940787904216,2.838703405976492
Soft-Whitening,32,2.982553486238316,4.657835564043651,4.918992621110042,12.87985354395364,2.440052639910778
NCWP,32,1.1829952688822445,2.009061621792637,1.848732755854989,5.847420678989495,1.0387502262751087
PCA-Whitening,64,5.684043222752757,8.595146655443147,8.87624112600051,22.388468658921017,4.772606948743509
Soft-Whitening,64,4.156925052192622,6.728810180335214,6.3917474889563435,18.229416557135515,3.5795290829313764
NCWP,64,1.849926141816034,2.8407929041876017,2.590632017965993,7.388174332351426,1.649672088102235
PCA-Whitening,128,10.01624206524442,14.044469294346035,15.298475986637683,33.742247608946364,8.396209660738998
Soft-Whitening,128,7.006371878541688,10.083564925068918,10.913189046009064,24.956064414678465,5.808849499749819
NCWP,128,3.297013303884659,4.253957052886107,4.725195401326297,9.325505528585412,2.8490095653401557
