dim,method,ndcg@10,ndcg@100,recall@10,recall@100,map,anisotropy,self_sim
3584,Base,2.193887219272232,4.124467299952722,2.7820323537916134,10.86153772496365,1.7360572377939587,0.8469909429550171,0.7173965573310852
1792,PCA-White,13.318530391799356,19.382939623630456,18.60688351429092,42.508080910858695,10.43507320103538,0.0107830855995416,0.0001209656329592
1792,Soft-White,12.151920658970496,18.72203940934428,17.12889262657781,42.925604916345655,9.690135965351306,0.0116455247625708,0.0001707362243905
1792,Random,2.072639828064264,3.927522446141584,3.025483604187308,10.268994123160793,1.647077605294417,0.0482126139104366,0.0034074292052537
1792,LPP,2.0780895668790405,4.1112291103915934,2.855730517767555,11.068646288553696,1.68353548586756,0.0481201112270355,0.0026088040322065
896,PCA-White,11.442421288195217,17.8853816565075,16.119376165672463,41.52375231078935,9.093757252792322,0.0115334037691354,0.0002369970025029
896,Soft-White,10.564956621479682,16.943263481984474,14.90262866420274,40.43848384126162,8.459522914046333,0.0127631332725286,0.0001169779134215
896,Random,1.7243156567962232,3.674367442010648,2.365332712554935,9.876945328334218,1.4408306394623631,0.048886951059103,0.0016090514836832
896,LPP,1.7300834242037983,3.5939096620849686,2.466927362760696,9.895495022809836,1.4210277951903632,0.0499072596430778,0.003602584823966
448,PCA-White,9.580584515464324,15.604777904766062,14.048474245233503,38.43163737839664,7.494554139882359,0.0127830309793353,0.0001703433226794
448,Soft-White,8.277616806890627,14.220282027962448,11.43188558697818,35.19733610011387,6.805498523577362,0.0143514685332775,0.0001656063104746
448,Random,1.7686362678297212,3.748758266737783,2.553635493450308,10.43593023917098,1.47160332777269,0.049376331269741,0.0011799200437963
448,LPP,1.5295358800378709,3.2190621241429698,2.20458168374835,9.088984146854516,1.226541345931078,0.051490768790245,0.0027295642066746
224,PCA-White,6.766089522778987,12.021855976008627,9.581809651254096,30.89545485378819,5.524042425406205,0.0148658026009798,0.0002740918134804
224,Soft-White,6.2695609328600455,10.98747466531988,8.741862561307006,28.23151942364905,5.107932831266513,0.0164785981178283,-4.0351467760046944e-05
224,Random,1.4672244891017128,3.237356732467888,2.1961252053844644,9.285381542325988,1.2187942185326603,0.0532705262303352,0.0038836542516946
224,LPP,1.421317056581758,2.8552194351821627,2.3228944409499963,8.315235861532157,1.043803789875774,0.053210362792015,0.0024777220096439
112,PCA-White,3.14675791003915,6.6390633814709705,5.267986899931344,19.428364416790338,2.4049134674961525,0.0173128526657819,-1.3036643395025749e-05
112,Soft-White,3.304443739227758,6.680288347883651,5.4068757888202335,19.44574501287464,2.4647445481498185,0.0191931240260601,0.0004742198798339
112,Random,1.810443457891033,3.02360439301898,2.999631541298208,8.355478968904894,1.2309736782624072,0.0466598644852638,0.0025090174749493
112,LPP,1.1584150033200526,2.441148129687607,1.9104994799439243,7.38998355896504,0.8694187881931538,0.0554066114127635,0.0026041048113256
56,PCA-White,2.1561089290903808,4.769304397685705,3.079082268897084,14.520203733166698,1.7382811831693834,0.0215244963765144,-6.762801785953343e-05
56,Soft-White,2.083776673654344,4.570002041662574,3.135421677088344,13.967036478610554,1.653443576949884,0.0240458901971578,0.0007033927249722
56,Random,1.0261367431631514,2.277597689099226,1.7441907372462924,6.999315841908435,0.7117461662564492,0.0469926074147224,0.0013585556298494
56,LPP,0.947430088169756,2.179098399172233,1.4796867227422783,6.542749089045385,0.7710336912430491,0.0589212514460086,0.0034861268941313
28,PCA-White,0.7875393302726689,2.221975659447004,1.255210838544172,7.350019236593311,0.6307010477585168,0.0288574919104576,0.0009979086462408
28,Soft-White,0.887010173022691,2.149478358564344,1.6853311297755742,7.045051570514533,0.5974553384257476,0.0319617502391338,0.0010946537367999
28,Random,0.3648775711160588,1.1311739747405274,0.6880144032921811,3.891941391941392,0.2639258233073741,0.0495491437613964,0.0017969287000596
28,LPP,0.7993971227464455,1.5697962623453556,1.3842253425586757,4.733038737668367,0.5506563511425304,0.0637992322444915,0.0038830540142953
14,PCA-White,0.2355515611047252,0.8777791791451045,0.4454393343282232,3.193130172296839,0.1728239255954738,0.0458431728184223,0.0021451485808938
14,Soft-White,0.1981388593851815,0.914078858079912,0.3682788405010627,3.378315357482024,0.1695438862320148,0.0486371591687202,0.0019603779073804
14,Random,0.1611402438174976,0.4346121227520659,0.2494855967078189,1.3247721928277485,0.1386678143871334,0.0589827187359333,0.0034988818224519
14,LPP,0.2468716108017174,0.7714524987617722,0.5814594356261023,2.818849960053664,0.1539132574100879,0.072722740471363,0.0059640677645802
7,PCA-White,0.1149559049984811,0.3830298258613639,0.2623456790123457,1.355933161488717,0.0877191450889475,0.067020259797573,0.0042383400723338
7,Soft-White,0.1151940327724233,0.367724117726103,0.2623456790123457,1.240192420747976,0.0858029977205358,0.0687018111348152,0.0053443168289959
7,Random,0.0,0.1295274778723016,0.0,0.4978689006466784,0.0201655829833642,0.0341930799186229,0.0034454115666449
7,LPP,0.0648911056450889,0.354765878505873,0.1286008230452674,1.420233573011351,0.0573164993774008,0.084881767630577,0.0067082517780363
1792,NCWP,13.025057839860862,18.810824915068523,18.38856830754979,40.90664265432783,10.147319970179916,0.0106830708682537,0.0001166694637504
896,NCWP,13.23017899041389,18.820093414909376,18.2782927806076,40.0824394227172,10.17072160573994,0.0113861775025725,4.215352237224579e-05
448,NCWP,11.78812851811077,18.02434891643526,16.101687664187665,40.69307578566838,9.47129709743659,0.0124077098444104,8.578060806030408e-05
224,NCWP,9.510664758976905,15.300613222159711,13.873204127833755,36.72288102843658,7.253457901885827,0.0136220464482903,3.661218579509296e-05
112,NCWP,8.267559506559973,13.384933207638475,12.17303444155296,32.40398319102023,6.387198459932471,0.0151332225650548,0.0001649575715418
56,NCWP,4.817662393193102,8.597798253398482,6.743635736691292,21.499175121860308,3.925902242370882,0.0175775028765201,0.0002682749473024
28,NCWP,2.0331356553990187,4.637465282615808,3.5834124723013607,14.175840877229763,1.4717033738149004,0.0209873300045728,0.0001503053499618
14,NCWP,1.1493549583724991,2.7374293658402173,1.9394952612545209,8.386944845278178,0.8711068223012866,0.0242084320634603,-1.813982453313656e-05
7,NCWP,0.127354713097363,0.5819448774923099,0.2443415637860082,2.08754936764196,0.1113215395113474,0.0233075190335512,0.0006752074114046
56,ZCA-only,2.2937213414226645,5.330384002842792,3.5483433747322635,16.207592990000396,1.789438060817863,,
112,ZCA-only,4.303941913386164,8.367594974498088,6.7685041296152395,23.655469616117763,3.1564888241871416,,
224,ZCA-only,6.885803282253561,11.756666974819074,10.379370286777693,29.176287961010182,5.287431628850372,,
448,ZCA-only,10.735385544749326,16.63205598788389,15.627018728870581,39.021161451717006,8.21697612244291,,
896,ZCA-only,12.034077810368231,18.251358549837132,17.16012425503166,41.44572505683616,9.286347186577167,,
1792,ZCA-only,13.525875076720512,19.424039186341812,19.31529033380885,42.57979117932821,10.435067420050675,,
