method,dim,ndcg@10,ndcg@100,recall@10,recall@100,map
Base,4096,3.1638179108825626,5.83920318045991,4.533282646708573,15.369987522765301,2.4345288208157108
PCA-Whitening,32,0.8539528723857498,2.1726397399378996,1.1588771310993533,6.567330132144947,0.759905318013589
Soft-Whitening,32,0.8620319172480689,2.0260153956733573,1.1836080586080586,5.840163779978594,0.7257475772846557
NCWP,32,0.6606502119783006,1.0176380330672248,0.8989197530864197,2.2484378618637875,0.4503802648644484
PCA-Whitening,64,1.491782075722298,3.7224076006750435,2.5055114638447975,11.703921935403416,1.1227170363242263
Soft-Whitening,64,1.455951724852553,3.3788300643901357,2.374338624338624,10.470799348114165,1.0865061451157016
NCWP,64,0.6390062442998967,1.0736716030262408,1.0433813443072701,2.7063737017440723,0.46369317335004995
PCA-Whitening,128,2.9474330533115913,6.774171252180886,5.049430593412075,21.10076523270968,2.191813462495728
Soft-Whitening,128,2.358563549214013,5.257754252504649,3.5384878324693143,15.932773073976778,1.8594787286485714
NCWP,128,1.2062720704660108,1.9102418789818247,1.6588337074448185,4.383079626135181,0.8748830672479544
