method,dim,ndcg@10,ndcg@100,recall@10,recall@100,map
Base,2560,1.7896826629109748,3.580577497887837,2.8278575848020293,9.987842661453772,1.376272271529716
PCA-Whitening,32,0.72356548873182,2.579744750007207,1.2963631019186574,9.076525326525326,0.6786902322198246
Soft-Whitening,32,0.7739055095271257,1.895117943137376,1.323552990219657,5.957955367677589,0.6163032135317711
NCWP,32,0.23227632566042408,0.5860780353249563,0.2820032333921223,1.6952093688204797,0.15697881551319415
PCA-Whitening,64,2.822964192468593,5.509293756484842,4.412361044305489,15.472404824256678,2.251447714270851
Soft-Whitening,64,1.6082222289110635,3.711299028583522,2.8537190689968464,11.55062144645478,1.1920188414621755
NCWP,64,0.6123013914184041,1.2870621562440443,0.7951205173427395,3.4375055671351964,0.5124838604632339
PCA-Whitening,128,3.625468963766691,7.325373700800511,5.243435833713612,20.156235653920838,3.0775434744565398
Soft-Whitening,128,2.4531572995750532,5.345693341469739,3.8351270642937307,15.485477742422185,2.0005565331293145
NCWP,128,0.8797336425688224,1.9223873222397603,0.9325396825396826,4.866455560900005,0.7280044180503128
