dim,method,ndcg@10,ndcg@100,recall@10,recall@100,map
768,Base,60.87882086835994,61.02915440302203,99.25241864555848,99.95602462620933,47.4548372225304
384,PCA-White,60.84655467450073,60.99746405564226,99.14248021108179,99.8900615655233,47.44480399306743
384,Soft-White,60.86773833825686,61.013201491565425,99.16446789797713,99.8900615655233,47.46210819711622
384,Random,60.83988757071178,60.9962968248735,99.2084432717678,99.93403693931398,47.42179651442302
384,LPP,60.81915576384633,60.98677548814939,99.2084432717678,100.0,47.39602154294203
192,PCA-White,60.794381349476765,60.92805515345921,99.25241864555848,99.8900615655233,47.34802926320866
192,Soft-White,60.795969151612084,60.931836129954675,99.25241864555848,99.8900615655233,47.35183824878281
192,Random,60.78968392056071,60.92807024143436,99.23043095866315,99.8900615655233,47.35024341441714
192,LPP,60.703516981873996,60.868243750937964,99.16446789797713,99.95602462620933,47.26773869611414
96,PCA-White,60.63550273551801,60.824025348580044,99.07651715039579,99.93403693931398,47.21662129960904
96,Soft-White,60.63486951804526,60.81156267738695,99.12049252418646,99.93403693931398,47.20113603597626
96,Random,60.62466784455008,60.81332619279481,99.07651715039579,99.93403693931398,47.19902307654033
96,LPP,60.28568287832103,60.48839581264189,98.90061565523307,99.86807387862797,46.83580802703167
48,PCA-White,59.90000820272123,60.1943374780582,98.4608619173263,99.8240985048373,46.50104482287375
48,Soft-White,59.89614536008079,60.21125390090171,98.41688654353563,99.86807387862797,46.51372013879008
48,Random,59.458699757082215,59.85145087485595,97.86719437115215,99.7141600703606,46.144569488358584
48,LPP,59.101439596078734,59.60177808543045,97.40545294635005,99.73614775725594,45.8539350839631
24,PCA-White,56.93928845763039,57.85227830534516,95.29463500439753,99.4283201407212,43.88258120173184
24,Soft-White,56.9677003840434,57.90423138290027,95.25065963060686,99.51627088830254,43.93158324365608
24,Random,53.695958190606504,55.14456889621832,90.45734388742305,97.18557607739666,41.332055169272735
24,LPP,55.9853976228597,57.1265484760862,93.73350923482849,98.98856640281443,43.185086757362384
12,PCA-White,48.700518831551896,51.16696903000618,85.1363236587511,96.61389621811786,36.89301061700683
12,Soft-White,48.93938371876075,51.29079848363468,85.57607739665787,96.5259454705365,37.044090391111226
12,Random,36.361482346353604,40.8694144195122,66.05101143359718,87.86279683377309,27.360977200265
12,LPP,45.86161890357941,48.97902171435116,80.584872471416,94.94283201407212,34.81175305757856
6,PCA-White,28.687676941722085,34.83312746022648,56.266490765171504,85.66402814423923,20.988674842282855
6,Soft-White,28.703188771692687,34.85099440435759,56.37642919964819,85.75197889182058,20.9801835684979
6,Random,12.568350707321965,19.017322863707616,26.561125769569045,58.61917326297274,9.322505029446297
6,LPP,20.40833813924823,27.623531083027043,41.73262972735268,76.73702726473175,14.978960650651041
384,NCWP,60.789660069906034,60.95091816962059,99.05452946350044,99.84608619173262,47.40326859384393
192,NCWP,60.696289264830185,60.85840028326106,99.01055408970977,99.80211081794195,47.30164529641156
96,NCWP,60.372111108160645,60.572802187431705,98.7467018469657,99.67018469656992,46.97891858631068
48,NCWP,59.027313318590146,59.42724063624064,97.64731750219877,99.4283201407212,45.69711217812635
24,NCWP,54.48059235691737,55.78958780668869,91.82058047493403,97.64731750219877,41.92060954016414
12,NCWP,39.1221361082436,43.19782003845555,70.20668425681619,89.66578715919086,29.535152688497025
6,NCWP,15.142726473160936,22.557925196849972,31.772207563764294,68.02990325417765,11.270650409424638
