method,base_dim,away_dim,base_weight,nvidia/llama-embed-nemotron-8b_mAP,nvidia/llama-embed-nemotron-8b_nDCG@maxK,qwen3-4b_mAP,qwen3-4b_nDCG@maxK,qwen3-8b_mAP,qwen3-8b_nDCG@maxK,neighbors_union_mAP,neighbors_union_nDCG@maxK,U2_mAP,U2_nDCG@maxK,U3_mAP,U3_nDCG@maxK,overlap2_mAP,overlap2_nDCG@maxK,overlap3_mAP,overlap3_nDCG@maxK
Base,2048,2048,base_dim_2048.pt,0.33062728141640063,0.3917469976100808,0.3189496269695524,0.3769516435668459,0.3189496269695524,0.3769516435668459,0.2961021814814672,0.3500234197656848,0.3264756112530946,0.39482642087600367,0.3602900939689555,0.42005771172326317,0.328556288404035,0.39317536283251736,0.37963812630407734,0.43289707196954125
PCA-Whitening,2048,2,base_dim_2048.pt,0.16373545572586531,0.18014706235419514,0.16563054958859663,0.17523459658312623,0.16563054958859663,0.17523459658312623,0.1496646021108615,0.15925577381793718,0.14051736417062097,0.1558489986086508,0.20081120997599886,0.21384406896128472,0.1461416678980708,0.16117327637937234,0.22819834392766142,0.2426809392435927
PCA-Whitening,2048,4,base_dim_2048.pt,0.24353958006847337,0.2871717151090032,0.22665015839194588,0.2722954700695128,0.22665015839194588,0.2722954700695128,0.2159085567203394,0.2526059600433012,0.22979990881600115,0.27386511239770395,0.28207280294310977,0.32748225151565263,0.23300081362189853,0.27454872157155,0.3050985384546177,0.35052625838570267
PCA-Whitening,2048,8,base_dim_2048.pt,0.29721464408636783,0.35163818274037,0.27758739281106765,0.3368820032692166,0.27758739281106765,0.3368820032692166,0.26192483837299585,0.31343708502499007,0.29557898747508166,0.35638447970605175,0.32318561972760307,0.3730457510988989,0.2976519751079699,0.3532161689838527,0.34487537509670263,0.38465441780371046
PCA-Whitening,2048,16,base_dim_2048.pt,0.35290262625450725,0.4210712200251784,0.3354153812293103,0.4063248733441527,0.3354153812293103,0.4063248733441527,0.315576986994415,0.3775991306898056,0.3686686091498706,0.4466090736316217,0.38892977376998716,0.4601393674228401,0.3699870952762701,0.4419013353424901,0.4042043821285471,0.4683810847937046
PCA-Whitening,2048,32,base_dim_2048.pt,0.355477695574397,0.42806368296855807,0.3488236574240569,0.4193557689592651,0.3488236574240569,0.4193557689592651,0.3247162872267636,0.3902642518509189,0.3765219894394526,0.44914885991745457,0.3997648886056691,0.47360475792413403,0.37942142804390055,0.44862351165022074,0.43341446374750336,0.4988443506705553
PCA-Whitening,2048,64,base_dim_2048.pt,0.38321074128219157,0.45371828934344927,0.37465428537427675,0.43965878559336213,0.37465428537427675,0.43965878559336213,0.3528779270718347,0.41517162932673474,0.40006721695363695,0.4759210176356777,0.4307478595823646,0.5024109766850842,0.4042898768307539,0.47810034143235863,0.47050631849477165,0.5351784541873403
PCA-Whitening,2048,128,base_dim_2048.pt,0.3928167736044732,0.47555524639890295,0.3886054649526816,0.46846662436217523,0.3886054649526816,0.46846662436217523,0.36414859849204434,0.44276523865905587,0.4115869630617186,0.4914900122242926,0.44000036303431234,0.5214830354695027,0.4128184977374166,0.49034763501605244,0.4720490214355008,0.5483833922880986
PCA-Whitening,2048,256,base_dim_2048.pt,0.39916633429635046,0.47872061872217114,0.3929817844859543,0.47016224426661707,0.3929817844859543,0.47016224426661707,0.3700019467203008,0.4452247957795507,0.4197535723307924,0.495451209104433,0.4393078502113057,0.5165877104120891,0.42394009176570946,0.4959342678798782,0.4722486781062718,0.5448841673524536
PCA-Whitening,2048,512,base_dim_2048.pt,0.396325172867067,0.48984597459165335,0.3932433695157793,0.4809860304967127,0.3932433695157793,0.4809860304967127,0.3704810101033885,0.45723484245966156,0.4243394833877979,0.5041742468114547,0.45142543892702514,0.5318890079559273,0.4288161779863606,0.5050705362009282,0.48522400630471435,0.5622676915087552
