method,base_dim,away_dim,base_weight,nvidia/llama-embed-nemotron-8b_mAP,nvidia/llama-embed-nemotron-8b_nDCG@maxK,qwen3-4b_mAP,qwen3-4b_nDCG@maxK,qwen3-8b_mAP,qwen3-8b_nDCG@maxK,neighbors_union_mAP,neighbors_union_nDCG@maxK,U2_mAP,U2_nDCG@maxK,U3_mAP,U3_nDCG@maxK,overlap2_mAP,overlap2_nDCG@maxK,overlap3_mAP,overlap3_nDCG@maxK
Base,2048,2048,base_dim_2048.pt,0.39328360132347046,0.4674668916398686,0.3912921719586756,0.46097464249587927,0.3912921719586756,0.46097464249587927,0.3538066486352425,0.4221959792876552,0.3566868073003554,0.43218458544141874,0.40822134400845056,0.47294513171547453,0.34664327922869903,0.4208122477901315,0.41643243070596603,0.4801287370952487
PCA-Whitening,2048,2,base_dim_2048.pt,0.16300765241043458,0.18273003306567057,0.1811835014984742,0.20064032093354278,0.1811835014984742,0.20064032093354278,0.15642663344227986,0.17193769194527275,0.14817005944543502,0.17368310237395979,0.2066346715865992,0.23495649497282708,0.15379121763155282,0.1788932065686757,0.2310487707820572,0.2571299472528637
PCA-Whitening,2048,4,base_dim_2048.pt,0.26421628027484845,0.2991160349810766,0.26318999054330905,0.29091373060087,0.26318999054330905,0.29091373060087,0.23705808045651922,0.2641806483672888,0.20740339384946516,0.24651473422758183,0.2627947141726752,0.2944131740270558,0.20803211517840878,0.24590834818637317,0.2807207344489306,0.3114583801484278
PCA-Whitening,2048,8,base_dim_2048.pt,0.33462188280822963,0.4133628813979313,0.32503787039859894,0.3963675679377042,0.32503787039859894,0.3963675679377042,0.30050577709556126,0.371703747725359,0.29716475039299567,0.3644880295106747,0.356543477142683,0.425476765392246,0.2873062792968434,0.35383124582513553,0.36062679532039843,0.42810570269472464
PCA-Whitening,2048,16,base_dim_2048.pt,0.3907335166562752,0.48439337672551724,0.3776761317833525,0.45093849932285324,0.3776761317833525,0.45093849932285324,0.353811557551279,0.4276502612471658,0.37694822762286645,0.45910515750297304,0.4241312351437976,0.4973184142121144,0.3627520078824233,0.4415289711944961,0.41850542682987524,0.48852063673624346
PCA-Whitening,2048,32,base_dim_2048.pt,0.42747178491681426,0.5117800425299449,0.4086778262812713,0.48038864016953897,0.4086778262812713,0.48038864016953897,0.3849743436141811,0.45722879923214216,0.40128102405483,0.47796351864201814,0.4539105354049982,0.5179695813575128,0.3954527883396407,0.47119949837870895,0.47082454704320537,0.5335902478046471
PCA-Whitening,2048,64,base_dim_2048.pt,0.4251239004946275,0.516519832660459,0.41845217875418167,0.49600378905120945,0.41845217875418167,0.49600378905120945,0.3915880370232566,0.4701527677714372,0.4220545385165651,0.4971071636987061,0.46984838321969574,0.5383128688871026,0.4193113039123296,0.494464650047593,0.4922874166317716,0.5604664203783238
PCA-Whitening,2048,128,base_dim_2048.pt,0.45411944365281054,0.5298738480376842,0.4449315628667436,0.513000047065822,0.4449315628667436,0.513000047065822,0.417640963313406,0.48712482452019346,0.4410745312131016,0.5187174527044127,0.49263916273806635,0.558320779241718,0.4437991758127536,0.5189423463680697,0.5237934014730306,0.5874289866398874
PCA-Whitening,2048,256,base_dim_2048.pt,0.4432766127864238,0.5205934444987932,0.4347105547202923,0.5072617542903761,0.4347105547202923,0.5072617542903761,0.408054049658109,0.4799000072589526,0.43776092981601494,0.5135184963123786,0.4867376459938119,0.5510793659181067,0.4356015474573466,0.510638504799357,0.5136385342735164,0.5793663263256326
PCA-Whitening,2048,512,base_dim_2048.pt,0.4377895717667138,0.5197625312886561,0.4384718002680654,0.5123758933004927,0.4384718002680654,0.5123758933004927,0.4096886837445884,0.48411267536101893,0.4369332329135578,0.5109743151811611,0.4842305241332539,0.550536389874379,0.4332836915462006,0.507565954983586,0.5087598847684838,0.5779880158992292
