method,base_dim,away_dim,base_weight,nvidia/llama-embed-nemotron-8b_mAP,nvidia/llama-embed-nemotron-8b_nDCG@maxK,qwen3-4b_mAP,qwen3-4b_nDCG@maxK,qwen3-8b_mAP,qwen3-8b_nDCG@maxK,neighbors_union_mAP,neighbors_union_nDCG@maxK,U2_mAP,U2_nDCG@maxK,U3_mAP,U3_nDCG@maxK,overlap2_mAP,overlap2_nDCG@maxK,overlap3_mAP,overlap3_nDCG@maxK
Base,128,128,base_dim_128.pt,0.45310919556112594,0.5251174997397847,0.44207563312535497,0.509614385236475,0.44207563312535497,0.509614385236475,0.42038245567371857,0.4881167433436988,0.4406882613468489,0.521233679486857,0.47584091249697846,0.5441405235570811,0.4436095098322856,0.5203406775178738,0.5000751192275035,0.5651641401296091
PCA-Whitening,128,2,base_dim_128.pt,0.11331262131999464,0.13028374889866393,0.13660409801888737,0.1567175500582588,0.13660409801888737,0.1567175500582588,0.1183628785884289,0.1340082719292746,0.10744785671248805,0.13098995745468175,0.12165232348275258,0.15452886507837948,0.11476514930630984,0.1394649745425393,0.13559087931853692,0.1734970392530845
PCA-Whitening,128,4,base_dim_128.pt,0.279988890705915,0.33303448615052117,0.28390740658314034,0.33150327867954393,0.28390740658314034,0.33150327867954393,0.2551529526653088,0.3034385785796254,0.23333935266540212,0.2867949402610658,0.2842418496777896,0.334744303776191,0.23161006073810436,0.28221457337340716,0.2940126455893746,0.3398809285563419
PCA-Whitening,128,8,base_dim_128.pt,0.38390801703282035,0.4474055181573741,0.37944274824579305,0.438013939667037,0.37944274824579305,0.438013939667037,0.3530634935174894,0.4108113367582179,0.3463229383419894,0.4183330017813548,0.3922340595733762,0.45636305879335615,0.34644683235707424,0.4153884150057604,0.40762956616813467,0.46699838596374676
PCA-Whitening,128,16,base_dim_128.pt,0.4449797002565861,0.5206552208506975,0.432471092812039,0.49271919282027143,0.432471092812039,0.49271919282027143,0.4196101877828232,0.4801251777670547,0.42759377534936943,0.5030761184681436,0.456956360270297,0.529283203924751,0.42977700491301457,0.49920934599920685,0.47377413615637054,0.5416964301915845
PCA-Whitening,128,32,base_dim_128.pt,0.497183622176942,0.5854081744549864,0.47500904242453473,0.5589449904326097,0.47500904242453473,0.5589449904326097,0.46568616348420266,0.5494993473829761,0.49400385810574504,0.5725857756624558,0.5212512611075603,0.6015027694302286,0.49772726435670306,0.5744865160229929,0.5430511325484236,0.625533785455474
PCA-Whitening,128,64,base_dim_128.pt,0.5148418310025773,0.5983930794411105,0.4883130030974037,0.5714769570057233,0.4883130030974037,0.5714769570057233,0.4764041078439199,0.5601397236253789,0.4975400937368948,0.5764571781432822,0.5394115245277714,0.6172985607192261,0.5035768763447105,0.5806478508734954,0.5677287821893882,0.6471252831888172
Soft-Whitening,128,2,base_dim_128.pt,0.11328648569565072,0.13028374889866393,0.1366006990175931,0.1567175500582588,0.1366006990175931,0.1567175500582588,0.11834778758807436,0.1340082719292746,0.10748144249266173,0.13098995745468175,0.12164400891485305,0.15452886507837948,0.11480014376109406,0.1394649745425393,0.1355845421565701,0.1734970392530845
Soft-Whitening,128,4,base_dim_128.pt,0.27983018493151757,0.3328915665354543,0.2838027367484072,0.3313995109612421,0.2838027367484072,0.3313995109612421,0.25505507362314583,0.3033475542653255,0.2334639079867961,0.2870049591102549,0.2843234266473943,0.33480161947928105,0.23173753567530858,0.28242696531693745,0.2941018495809243,0.3399447234258682
Soft-Whitening,128,8,base_dim_128.pt,0.3843095450695926,0.447826364432722,0.37990306123826245,0.44021138727297887,0.37990306123826245,0.44021138727297887,0.3533955702035167,0.4123741213831528,0.3444476931090817,0.4172497343499685,0.3912448070524205,0.45660205146352895,0.34441091178675415,0.4142967063600855,0.4063759761484411,0.46730391998894394
Soft-Whitening,128,16,base_dim_128.pt,0.44439526565903714,0.5172716523996687,0.43152053324445533,0.49025300410091993,0.43152053324445533,0.49025300410091993,0.4192672134581739,0.4784093019003101,0.42741956670166936,0.5038618896311139,0.4549105015166417,0.5265718110756817,0.42978067566329803,0.50015299879496,0.47184993308946815,0.5387927497504943
Soft-Whitening,128,32,base_dim_128.pt,0.4872872329641382,0.5772902313239822,0.465650490193429,0.5498116763981664,0.465650490193429,0.5498116763981664,0.45679273994380243,0.5409950818326369,0.48630380900378667,0.5651248089385162,0.5138127673537636,0.5921930413121628,0.4911118814848088,0.5677731757155984,0.5365074074173602,0.6169233811820839
Soft-Whitening,128,64,base_dim_128.pt,0.511133031687026,0.5930288320157107,0.48347953839299235,0.5647574869767424,0.48347953839299235,0.5647574869767424,0.4727882354058162,0.5546555165872844,0.4943150457120247,0.5734419118030237,0.5337544824568012,0.6105906706827129,0.4987499137353704,0.5760653430229964,0.5584798698474412,0.6371428889455307
NCWP,128,2,base_dim_128.pt,0.09709545995556322,0.09953492082423522,0.11671213226967897,0.12453761383031367,0.11671213226967897,0.12453761383031367,0.10662043643422121,0.11558233316200095,0.08448931599632814,0.09670436965611232,0.1014574698095492,0.1141902765256771,0.0849306906761562,0.09553707833637742,0.10834010528274958,0.11988233163517124
NCWP,128,4,base_dim_128.pt,0.13520607349645028,0.1649687248262129,0.14027072129531917,0.1666306826201589,0.14027072129531917,0.1666306826201589,0.13044396268942904,0.15717605585662725,0.14467481929988368,0.17329092131126111,0.18885879365892075,0.2247298842237842,0.15071852620924012,0.17913156822235893,0.21008305425068355,0.25182975415776326
NCWP,128,8,base_dim_128.pt,0.3035860412037533,0.340044257791503,0.27025421551927237,0.31170772608272235,0.27025421551927237,0.31170772608272235,0.2703068095003223,0.3061871330220537,0.28260053116588707,0.32582510284918664,0.3009928562903376,0.34425760572945363,0.2859843237779855,0.3273023795705837,0.32356461240770995,0.3652519625251554
NCWP,128,16,base_dim_128.pt,0.3300960455093791,0.39839039789378206,0.32335675097201827,0.3911000280615029,0.32335675097201827,0.3911000280615029,0.3107232307889488,0.3802812332876044,0.360742405662956,0.43082278315967815,0.4274054142701451,0.501705255307251,0.3640698322672165,0.43112752964339573,0.45456576502303225,0.5297782425406142
NCWP,128,32,base_dim_128.pt,0.4266961811613848,0.4988520193944523,0.41598530780828946,0.4851566278798159,0.41598530780828946,0.4851566278798159,0.40406620744993654,0.47390250143231716,0.4287612982761338,0.4995659141795582,0.5028551716144973,0.575797149834547,0.4376682414174082,0.5047708255598942,0.5511616412013162,0.6214281764870474
NCWP,128,64,base_dim_128.pt,0.46873133082692986,0.5532077495570338,0.47534430230644736,0.5489765463260902,0.47534430230644736,0.5489765463260902,0.45329251840678314,0.5337735379706168,0.4731405413338946,0.5521786782578879,0.5478633941086525,0.6228315758351252,0.48182935952717876,0.5598195548040465,0.596088444138867,0.6697222013857633
LPP,128,2,base_dim_128.pt,0.0944863085996795,0.11517860658276344,0.09544248745410845,0.11779636987332089,0.09544248745410845,0.11779636987332089,0.09031144693523864,0.1077970620486269,0.09100928831659685,0.10575148520612664,0.10170149326466252,0.13093117820160521,0.08990339377971397,0.10670614570897843,0.10255460225763055,0.1352528057465925
LPP,128,4,base_dim_128.pt,0.1920751138084147,0.22971135072438995,0.18405244592928255,0.21167714464530005,0.18405244592928255,0.21167714464530005,0.17035326458949004,0.2013512066259765,0.20629944964226313,0.2451811936354652,0.24073731538893883,0.2718775492398528,0.20547067079611064,0.24336510411553938,0.24422101236019964,0.2743779651149215
LPP,128,8,base_dim_128.pt,0.3518883952715568,0.4249521322911661,0.3112680472082266,0.3798651406912413,0.3112680472082266,0.3798651406912413,0.3026129474129264,0.37506535071558433,0.32154481921294975,0.39438176324368523,0.35529480784474066,0.4233165119000443,0.32359169231464907,0.39189952111626547,0.3656798553327776,0.4235420649981668
LPP,128,16,base_dim_128.pt,0.43901952296722413,0.5072661796655918,0.42810888740544767,0.48552367042016664,0.42810888740544767,0.48552367042016664,0.40792463687786656,0.4669289140206357,0.4086487697031199,0.48388361035996497,0.4382623067322578,0.5015466504582381,0.4152427362797053,0.48642866078326197,0.4620683351655847,0.51773329267244
LPP,128,32,base_dim_128.pt,0.43666325735950257,0.5010409011919347,0.43240809731712027,0.48700456818675136,0.43240809731712027,0.48700456818675136,0.41466438461479077,0.46787575053909736,0.42384702401428975,0.4996320886765442,0.44753174935332807,0.509591648401803,0.42643185752917223,0.49692826725579303,0.4679428523895579,0.5214855410637168
LPP,128,64,base_dim_128.pt,0.44704572806094084,0.5049504719625107,0.43598856003519265,0.4929773214177333,0.43598856003519265,0.4929773214177333,0.4178773155792594,0.47028272309871405,0.43264311520829873,0.5092361896854494,0.46071107007139867,0.5262791962708555,0.4355520701580661,0.506174710733271,0.4830099795971701,0.539379393037536
Random Projection,128,2,base_dim_128.pt,0.11269394421022043,0.12684759402064733,0.12395465584672997,0.1261156017717981,0.12395465584672997,0.1261156017717981,0.11421537393878542,0.12265485013564623,0.09461781162767931,0.1035157173522934,0.10776050268018006,0.1286655108383112,0.09544806013391419,0.10277562923875484,0.11498375853590713,0.1355526566232457
Random Projection,128,4,base_dim_128.pt,0.2680409118047764,0.3159422676304967,0.25652184272634376,0.28859815197875077,0.25652184272634376,0.28859815197875077,0.25039996124226593,0.28836093420558706,0.2456348339350104,0.28426845937851813,0.2783371449365379,0.3210735922792699,0.24916042970749702,0.2838604112644526,0.30327732053324824,0.33881853859526856
Random Projection,128,8,base_dim_128.pt,0.34027124843703144,0.413179655446951,0.35896821856389005,0.43572047126552604,0.35896821856389005,0.43572047126552604,0.3178536237064175,0.3916231848332578,0.31655642305538545,0.39109215061483116,0.3606460647132081,0.4379073156045993,0.31901500818003536,0.3908554265372682,0.3844917341809426,0.4625980881183419
Random Projection,128,16,base_dim_128.pt,0.459346405950091,0.5264846486267436,0.4245625353044914,0.4947482187441902,0.4245625353044914,0.4947482187441902,0.4158908422683778,0.48163344128470226,0.38691387309759856,0.4628066855395173,0.42882165993110183,0.4988857689487463,0.3928557942709927,0.46762598998257604,0.448148359730634,0.519589636354805
Random Projection,128,32,base_dim_128.pt,0.41904023693450915,0.48877493619175266,0.408103601101113,0.46057738899883693,0.408103601101113,0.46057738899883693,0.387047232038451,0.44624296378882156,0.38685447223026354,0.46499748557757065,0.4420893617376043,0.5109453176446289,0.3858149040665637,0.45754440005692526,0.45936073538745426,0.519009558531472
Random Projection,128,64,base_dim_128.pt,0.45249572909368124,0.5184712343065389,0.42444667186164897,0.4800197717390325,0.42444667186164897,0.4800197717390325,0.4177954137930817,0.47505565463850963,0.4393221112671226,0.5135708516459873,0.46305233699405035,0.5256939630598848,0.4417613147780534,0.5108881294626122,0.48196773128373127,0.5386576531281811
