dim,method,anisotropy,self_sim,ndcg@10,ndcg@100,recall@10,recall@100,map
768,BM25,,,26.78122440932194,23.59589723687648,12.411720311195456,21.865410920685964,11.469082449583462
768,Base,0.8925622701644897,0.7966110943371517,36.84188353163383,33.972275783551346,18.279473923143044,32.52472391799056,17.446776244263642
384,PCA-White,0.0054441089741885,-0.0002456839128444,32.210769210175386,27.77190200050516,15.897452981180791,26.28874534877036,14.026393622814313
384,Soft-White,0.0057384618557989,-0.0002423914050885,33.032580898510375,28.755782031302573,16.226084360334973,27.1321576150877,14.55522638876282
384,Random,0.0130597818642854,-0.0001047256517777,31.17467977894727,28.94015621032787,15.106731116711924,28.622400087607176,14.010147208375043
384,LPP,0.0122099881991744,-0.0001262055690238,32.83721897913126,30.658467495438497,16.095355632991843,30.28094281516936,15.132567034790975
192,PCA-White,0.0064128059893846,-0.0002341950127831,32.27307643675149,29.416286212648707,15.950372175356724,28.242787232702675,14.926715269468826
192,Soft-White,0.0066872839815914,-0.0002305983620517,32.54421561973713,29.777537774410373,16.285879813303623,28.899985222543368,15.063882288547289
192,Random,0.0128720141947269,-0.0001095960284232,28.330156463889068,25.98755498699383,13.609137428656396,25.88086366971914,12.106055599244408
192,LPP,0.0128518212586641,-0.0001101155397059,30.783285988286284,29.17660561204043,15.02100671392454,29.10833068223871,14.049582018364934
96,PCA-White,0.0078489817678928,-0.0002137068813939,29.928922056411604,28.38327446208801,14.322574976799032,28.84422735518893,13.695713225815824
96,Soft-White,0.0081483433023095,-0.0002089165462688,29.91319653734638,28.51070095557697,14.380271732057071,29.0240509887384,13.766467767006638
96,Random,0.0136469881981611,-8.903873494360312e-05,22.23556576530922,21.0316476205207,10.524122798233796,21.626790327829784,9.155556617826829
96,LPP,0.0130992820486426,-0.000103691976415,26.810480519138448,26.476668850328565,12.198060733949443,27.99955727328324,11.83238673130274
48,PCA-White,0.0103679439052939,-0.0001678064924054,23.886755680997865,23.90564270813273,11.152824779314832,26.032711062469826,9.974841466210409
48,Soft-White,0.0106947580352425,-0.0001609211084143,23.723900055755088,24.047420165082777,10.982411116163668,26.348756890997223,10.046042341583984
48,Random,0.0129335625097155,-0.0001080071135817,15.319252038048504,15.817472932488648,7.761275155598073,18.77184918494237,5.94623078156832
48,LPP,0.0146543346345424,-6.052171376489421e-05,20.5911982161392,21.49539769391564,8.777281774737592,24.05447346569186,8.637461621689054
24,PCA-White,0.015048555098474,-4.88092673214119e-05,15.085662334695602,17.140257750371994,5.815942446237735,20.96535486326361,5.4584258685386144
24,Soft-White,0.0151580581441521,-4.5500440420639365e-05,15.329136166334717,17.286486042060325,5.922634328842407,21.12647788898796,5.521804098692872
24,Random,0.0118761556223034,-0.0001342485114103,7.607139762804548,8.775760630254688,3.245116148518336,11.550829697899824,2.417243011887323
24,LPP,0.0163403265178203,-8.250567426068521e-06,14.315006777226325,16.608066448253393,6.567593675188263,20.43446380703656,5.791089176644296
12,PCA-White,0.0196744333952665,0.0001118591903853,9.73736985162011,13.11568732296045,3.7438773533572007,17.8294717454846,3.50472866789953
12,Soft-White,0.0199736300855875,0.0001237253920379,9.739372324961051,13.132755600442398,3.7761199108014303,18.069296737255268,3.4888707953296065
12,Random,0.0132377576082944,-0.0001000440369424,3.078061666810591,5.146525320881742,1.258086978056799,8.225250131854141,0.7641909860141803
12,LPP,0.0213098116219043,0.00017890260434,7.704089537217936,10.41662048852759,2.814821502114682,14.324186417956447,2.6979722642335324
6,PCA-White,0.0317601524293422,0.0007336545810226,2.6912636863481403,5.302456954168917,0.7439201359481579,8.40217091485088,0.7104348551018307
6,Soft-White,0.0319486856460571,0.0007456696162373,2.663988070540952,5.298880782406848,0.7371897550085967,8.404108582971144,0.7085650143753268
6,Random,0.0154086276888847,-3.783919395288091e-05,1.7082888870185668,3.459158271200096,0.6181457400993846,5.650341686146679,0.4055428015076485
6,LPP,0.0275976750999689,0.0004865101232092,3.192675036979849,5.12232455764741,1.1783525114934454,7.63522246698088,0.82303639458409
384,NCWP,0.0053356527350842,-0.0002468533775548,23.78255650010701,21.42857251825184,11.724237681102732,21.54020476780817,10.171387111310406
192,NCWP,0.0055859950371086,-0.0002441184405841,23.03779530199324,20.52542284158551,11.262098071735982,19.796883514074555,9.338337045448236
96,NCWP,0.0062625464051961,-0.0002361001156832,17.133699306533256,16.582583765079345,7.853783368367223,17.68330642613503,6.752044488105064
48,NCWP,0.007132729049772,-0.0002244405676925,11.36548006198248,11.963599362663595,5.304344618104583,14.573626731789988,3.651291734232552
24,NCWP,0.008077741600573,-0.0002100625498955,6.234450194846165,8.308032126019581,3.571616725413546,12.761050378119782,1.986187601553469
12,NCWP,0.0101294238120317,-0.0001726968886822,2.9554220644869327,4.802618789572278,0.9817582409791522,7.500149134685699,0.7981060917972609
6,NCWP,0.0106670530512928,-0.0001615130937228,2.569878000614344,4.062497519740537,0.9880892176423296,6.145666595987484,0.6209844248987669
24,ZCA-only,,,9.472621293240111,10.766309187640816,3.80927950014354,13.822430164989264,2.9336096202349045
48,ZCA-only,,,15.818162860986348,15.60006760877545,6.516741315044887,16.820070685858372,5.823200709649964
96,ZCA-only,,,22.5625580855385,20.39801796884681,9.94147004872668,20.618659332693177,8.440607946264473
192,ZCA-only,,,28.87049043306468,25.337133623803897,13.125484256535374,24.115801330769724,12.063058240897245
384,ZCA-only,,,31.85548041779817,27.274244419197057,15.015516624541391,25.15491767396804,13.783429676001912
