model,variant,dim,ndcg@10,ndcg@100,recall@10,recall@100,map
e5-base,ZCA-only,24,40.4497248706373,44.87501390477705,50.914332385275074,70.30344194468721,36.80013439432018
e5-base,ZCA-only,48,65.22871160410705,68.521935302761,75.83227747151167,89.35005381966991,61.02084807738194
e5-base,ZCA-only,96,80.08296682713653,82.2356605064361,89.30938778085404,97.49531619301348,76.2313825652469
e5-base,ZCA-only,192,84.75789168848344,86.36480887976295,93.32586381866358,99.02845134616942,81.10374393738829
e5-base,No-QR,24,52.780670319841406,57.362341058140544,65.3510728047593,85.03809405545387,48.48571188681801
e5-base,No-QR,48,74.13953421053769,76.95782757543014,84.12684049230528,95.24848643692664,70.15616787547468
e5-base,No-QR,96,81.91417825477183,83.91814387190138,90.38233636201667,97.8983957077987,78.30362536427792
e5-base,No-QR,192,83.91091907003687,85.70991312084665,91.97960752463796,98.53750068732626,80.4389384223524
e5-base,Full-NCWP,24,45.60593153586153,50.77750882085657,58.09393716202401,80.54033955406332,41.61162216119072
e5-base,Full-NCWP,48,71.80485692301313,74.70653370708608,82.56541517637226,94.15002221239251,67.57398891267624
e5-base,Full-NCWP,96,81.73779418677088,83.70992966802494,90.37683391715142,97.81743658283058,78.06263342638165
e5-base,Full-NCWP,192,83.54967245100048,85.3702949284058,91.85624615370313,98.55369919240596,79.97982889794315
bge-base,ZCA-only,24,66.55671987689206,69.56738182590965,74.8607386569472,87.44278196213818,62.96130875296184
bge-base,ZCA-only,48,78.04828045662643,80.4010257475424,86.68263905457506,95.799904685311,74.32674909108438
bge-base,ZCA-only,96,85.14687727770155,86.72347591825664,93.06789795163614,98.73952518879987,81.70421250138926
bge-base,ZCA-only,192,87.8843836364016,89.20000410603755,95.07592730814306,99.55041740633804,84.74498234335897
bge-base,No-QR,24,77.50097930770718,79.87325632527143,86.21257832698684,95.45038228015903,73.83023061859313
bge-base,No-QR,48,83.59221573391747,85.37214984820662,91.43422222402674,98.0117745466679,80.2044623299291
bge-base,No-QR,96,85.70774309260068,87.27372258206968,93.22845359610754,98.88478936996977,82.43670384416694
bge-base,No-QR,192,86.58106945225825,88.01068107915884,94.0790963697125,99.13877632840811,83.32785685894
bge-base,Full-NCWP,24,77.04697402677046,79.45167466546309,85.42181104436976,94.91131946987863,73.42585722869609
bge-base,Full-NCWP,48,83.45167479219951,85.22304518570252,91.1897649933436,97.74441896325588,80.06348478788823
bge-base,Full-NCWP,96,85.51155407422566,87.12713359778344,92.93875382765178,98.75433054442342,82.28005770462312
bge-base,Full-NCWP,192,86.69325201015205,88.09062315550942,94.21195838836456,99.12982713458764,83.41111025227195
e5-base,ZCA-only,6,0.9135969495346816,,,0.0,0.0
e5-base,ZCA-only,12,10.382051393047224,,,0.0,0.0
e5-base,ZCA-only,384,85.79124237257668,,,0.0,0.0
e5-base,ZCA-only,6,0.9135969495346816,,,0.0,0.0
e5-base,ZCA-only,12,10.382051393047224,,,0.0,0.0
e5-base,ZCA-only,384,85.79124237257668,,,0.0,0.0
