variant,dim,ndcg@10,recall@100,map,ndcg@100,recall@10
PCA-White,24,13.784635447392258,,,,
PCA-White,48,56.1586310261461,,,,
PCA-White,96,78.99720302105312,,,,
PCA-White,192,84.77958416203626,,,,
ZCA-only,768,84.82039810325772,99.07880260507001,81.25563613806192,,
Random-pairs,24,18.041698257632778,41.755977429719216,16.17763579687631,21.707624414747904,24.659790292753783
Random-pairs,48,51.98385619890759,76.81432524381407,48.419579618120515,55.51632453522537,61.347012628292596
Random-pairs,96,70.24834732072021,90.91108347143351,66.39007737988564,73.02064605493412,79.56575796209246
Random-pairs,192,79.75443571954571,97.09578060622165,75.88884410606566,81.90719572425898,88.89409616860557
No-hardneg,24,47.48184908333746,81.38012177833652,43.51584454543021,52.5384597761729,59.545694605173416
No-hardneg,48,73.51780700377937,94.74875662201774,69.52974689811003,76.34639695679083,83.4655822471792
No-hardneg,96,80.78347671318761,97.60776496301847,76.96212528381186,82.85104219679266,89.79774898256227
No-hardneg,192,83.09198344112502,98.44401128137864,79.50391419483043,84.97253906159463,91.6053254899675
No-memorybank,24,45.60593153586153,80.54033955406332,41.61162216119072,50.77750882085657,58.09393716202401
No-memorybank,48,71.80485692301313,94.15002221239253,67.57398891267624,74.70653370708608,82.56541517637226
No-memorybank,96,81.73779418677088,97.81743658283058,78.06263342638165,83.70992966802494,90.37683391715142
No-memorybank,192,83.54967245100048,98.55369919240596,79.97982889794315,85.3702949284058,91.85624615370313
No-QR,24,52.780670319841406,85.03809405545387,48.48571188681801,57.362341058140544,65.3510728047593
No-QR,48,74.13953421053769,95.24848643692665,70.15616787547468,76.95782757543014,84.12684049230528
No-QR,96,81.91417825477183,97.8983957077987,78.30362536427792,83.91814387190138,90.38233636201669
No-QR,192,83.91091907003687,98.53750068732626,80.4389384223524,85.70991312084665,91.97960752463797
No-refinement,24,47.830685930337204,81.41591132978748,43.78737815136663,52.78780305133483,60.144148648858845
No-refinement,48,72.77808203204799,94.43921177866147,68.69336900488045,75.66922296637564,82.99279080655079
No-refinement,96,81.28077892138501,97.74129595518362,77.46798436095061,83.26164249183574,90.2962802861153
No-refinement,192,83.32521676650984,98.5048454802673,79.73547092154305,85.18886476233689,91.64064439570404
Full-NCWP,24,45.60593153586153,80.54033955406332,41.61162216119072,50.77750882085657,58.09393716202401
Full-NCWP,48,71.80485692301313,94.15002221239253,67.57398891267624,74.70653370708608,82.56541517637226
Full-NCWP,96,81.73779418677088,97.81743658283058,78.06263342638165,83.70992966802494,90.37683391715142
Full-NCWP,192,83.54967245100048,98.55369919240596,79.97982889794315,85.3702949284058,91.85624615370313
