dim,method,ndcg@10,ndcg@100,recall@10,recall@100,map,anisotropy,self_sim
768,Base,88.89621196264524,90.07667230803308,95.73714177129348,99.67189259035692,85.8784191642504,0.5901752710342407,0.3482066690921783
384,PCA-White,87.92839558499786,89.20017794619878,95.16611803682258,99.49565239912026,84.73838705769555,0.0072494894266128,-6.335599755402654e-05
384,Soft-White,88.1915589957654,89.43752796525575,95.32637002094955,99.56111489292245,85.04672147663227,0.0072373356670141,0.0001047089608618
384,Random,88.59669423255538,89.77848880092498,95.63664218048328,99.60646653990608,85.48382934363148,0.0076275751926004,0.0003386780153959
384,LPP,88.6268045366362,89.83426218825194,95.53339669368005,99.58991595170112,85.58884823397413,0.0074374424293637,0.0002084234874928
192,PCA-White,88.28246896763024,89.52349960610863,95.40396921336628,99.6104144144205,85.1803834275004,0.0073069990612566,2.966658757941332e-05
192,Soft-White,88.32730042334698,89.56740016267202,95.41164106052496,99.6241757947021,85.24015200339437,0.0072728404775261,7.331545202760026e-05
192,Random,88.19093353555402,89.42328592764393,95.30608204195372,99.4813805694803,85.0551105160849,0.0075192875228822,0.0001523431419627
192,LPP,87.61672857790089,88.9743252291965,94.69912827810008,99.37119212595556,84.49738240472016,0.0083283716812729,-3.945526623283513e-05
96,PCA-White,86.9522417657092,88.370544274747,94.42662675040737,99.37479982160504,83.72647748433403,0.0071143805980682,-0.000120139120554
96,Soft-White,86.89831726319287,88.30497047383025,94.45849182977246,99.37366188300854,83.6404073926417,0.0071567818522453,-3.351623672642745e-05
96,Random,87.02278822551138,88.39008838559522,94.33375804485104,99.1622505517404,83.77804942305845,0.0078112464398145,0.0002218447916675
96,LPP,85.84140353111238,87.36561299555966,93.44424784312602,98.93379424008774,82.51143578885433,0.0108718313276767,-0.0003232466406188
48,PCA-White,81.61951577547501,83.69857134660657,90.25952770563325,98.09694605685328,77.96583486358499,0.0092924889177083,0.0001464717352064
48,Soft-White,81.55750461094557,83.65165725236156,90.1709925505106,98.06818725177672,77.91048482692693,0.0094472020864486,0.0002811801969073
48,Random,84.47275490028298,86.06272444166818,92.2229970591785,97.98851627127738,81.0195825856832,0.006394799798727,0.0002358511992497
48,LPP,82.34625526171023,84.28399151704264,90.36241002887444,97.65782060052014,78.87834551451192,0.015228166244924,0.0007920368225313
24,PCA-White,70.70237711211145,73.76648983919925,80.36873031707637,92.94383267091094,66.68560009531488,0.0147782266139984,0.0006040300941094
24,Soft-White,70.75191215489662,73.80384153661716,80.45454375078319,92.97910117857715,66.72340588416203,0.014961065724492,0.0006239948561415
24,Random,73.90085333471896,76.35600611669014,81.89700004641684,91.94235324023788,70.32302735456844,0.0057631554082036,-0.0001287194754695
24,LPP,74.5416866418191,77.12387045576897,83.4168339072349,93.85209410015712,70.71856420975749,0.0248090028762817,0.0007261642022058
12,PCA-White,52.0822114605968,56.56526774831732,61.895476220667256,81.38527339673655,48.36708037110825,0.0207844115793705,0.000725410063751
12,Soft-White,52.17984015000975,56.68766899806626,61.97895903238169,81.5455603345048,48.47978709382885,0.0214269068092107,0.0002828404540196
12,Random,43.87781433407415,47.82677341672005,51.687463213618834,69.31034401032313,40.893305590309865,0.007603664882481,0.0010001002810895
12,LPP,51.11562921926392,55.20688618235339,60.70101541965485,78.60689210848386,47.45529717983128,0.0343508385121822,0.000380769080948
6,PCA-White,17.866704905253826,22.85994454756856,25.09220388131076,48.23600444149105,15.859352803656517,0.041031613945961,0.0014794878661632
6,Soft-White,17.861197401697478,22.852075778920835,25.11327963888651,48.24200852645837,15.845184409418508,0.0412101335823535,0.0012696713674813
6,Random,8.506853557900758,11.63929497136068,12.749354257934712,27.824330748264305,7.451000792666742,0.0101241078227758,1.982855246751569e-05
6,LPP,10.067010084366704,13.576859351727103,14.9063131013455,31.65156256453112,8.815261090886217,0.0175632499158382,0.0007786700152792
384,NCWP,87.28763874675597,88.63645789807714,94.64375844252928,99.3123094068144,84.0759277715784,0.007600515615195,9.907597268465906e-05
192,NCWP,86.65972698658673,88.04670760631423,94.21736233379228,99.08338004008571,83.39156712321842,0.0081154303625226,7.957284105941653e-05
96,NCWP,85.73150321734585,87.30007623507116,93.12965477073269,98.81255639810912,82.50399341714298,0.0091883912682533,0.0002127977350028
48,NCWP,83.3895391711265,85.21174488503368,91.02146710419068,97.80647734017336,80.04106620332888,0.0107737127691507,4.774401168106124e-05
24,NCWP,77.05842648985394,79.40972810025184,85.58823796096567,94.89463100887562,73.40648877050849,0.0133873634040355,-0.000633574440144
12,NCWP,54.92150813411119,58.84186202068288,64.52774498482476,81.34651525076436,51.25261946815829,0.0132011249661445,0.0003137664753012
6,NCWP,14.97410789052224,19.80843379363344,22.002353496674097,44.64050127475168,13.117499023218182,0.0073026572354137,0.000553079356905
