dim,method,ndcg@10,ndcg@100,recall@10,recall@100,map,anisotropy,self_sim
768,Base,84.19812027844465,85.88025265033795,93.0884237691918,99.06174954376908,80.45790593480884,0.8604001998901367,0.7402948141098022
384,PCA-White,85.88192721862113,87.42638450736344,93.82353930504922,99.20803711657622,82.46843840870055,0.0075343386270105,9.384547593072055e-05
384,Soft-White,86.07652179591929,87.56455096595116,94.05861909650297,99.25651522135384,82.63946519833205,0.007509771734476,6.383127038134262e-05
384,Random,81.06007618744721,83.08962064496916,90.85388871971,98.33714080762,77.01944322868134,0.0076671773567795,-9.809993935050444e-05
384,LPP,79.95811271374464,82.13647530310074,90.17015874682195,98.28464208004928,75.82752538311127,0.0075880014337599,0.0003815602103713
192,PCA-White,84.77958416203626,86.41101127514048,93.22321756190112,99.00467227072984,81.18626067748094,0.0072340960614383,8.390372386202216e-05
192,Soft-White,84.76271550374453,86.40238677306094,93.23112466508252,99.03666966003644,81.16274580483872,0.0071921697817742,0.000261985900579
192,Random,79.16225146270189,81.40365624772858,89.26467106372151,97.6116501078948,75.05272302882139,0.0079511385411024,-0.0001672846410656
192,LPP,68.28155877140914,71.88552306729667,80.82286545280964,95.37258676210222,63.64218536562839,0.0085406489670276,-0.0002074011281365
96,PCA-White,78.99720302105312,81.3612089744922,89.19833582070255,98.08593010139552,74.90940518956651,0.0073374668136239,-5.0296315748710185e-05
96,Soft-White,78.56517481364013,80.9727547008374,88.94631279913348,98.04800729237526,74.42206972505943,0.0074490220285952,-0.0002559311396908
96,Random,71.54671726042118,74.4950283322831,82.3071692454601,94.06813344886451,67.2873704628967,0.007757110055536,0.000180799368536
96,LPP,42.97544248056248,48.67571373756255,55.670662870323774,80.70192239232092,38.90906880953351,0.0105422297492623,3.5479431971907616e-05
48,PCA-White,56.1586310261461,60.852685806627015,69.9737682445297,89.73766849036065,51.37561783568001,0.0102203032001852,0.0003187726542819
48,Soft-White,54.18979083173869,59.09113153138201,68.08667175812137,88.79377196200548,49.428165756868765,0.0104204351082444,0.0004447458777576
48,Random,52.367727162192914,56.64223331877369,64.1097390995411,82.53761256297862,48.17560078063849,0.0079225888475775,0.0005942896823398
48,LPP,15.01222217428269,20.092786340152703,21.95114034502049,45.36772882308774,13.204337273001013,0.0143033787608146,0.0006352174095809
24,PCA-White,13.784635447392258,18.787301670055083,20.052275205838527,43.378016459304895,12.136886503792606,0.0156769268214702,0.0002625357010401
24,Soft-White,12.632392917765992,17.3989406610751,18.424210759656496,40.63593779786336,11.12723857784807,0.0157814100384712,0.0002678401651792
24,Random,11.15980282489176,14.6001576522913,16.408220932417798,32.744596514665034,9.788836156159489,0.00746426358819,-1.8884966266341507e-05
24,LPP,1.8812975135551555,3.614261133463474,3.107980900342265,11.443862563374466,1.6740573755842494,0.0187250692397356,-0.0001401783665642
12,PCA-White,0.6796947358914212,1.4734348737548186,1.214654259877467,5.09613185677325,0.5932062767964048,0.0220956336706876,-0.0011193286627531
12,Soft-White,0.6216461738333146,1.3588781733232504,1.1210268088970747,4.7501845112404695,0.5404030433305158,0.0225644130259752,-0.0004461821808945
12,Random,2.693714688306855,4.680242713243949,4.634564915966386,14.321850436078815,2.3281580346925423,0.0116052702069282,0.0003783676947932
12,LPP,0.0367287513040297,0.1722129093193116,0.0566666666666666,0.7253099660993496,0.0470856751101732,0.0270987562835216,0.001391114317812
6,PCA-White,0.0094639463035718,0.0262355473123061,0.02,0.0988036529680365,0.0082828716389058,0.034425776451826,0.0010529115097597
6,Soft-White,0.0094639463035718,0.0268101383996666,0.02,0.1021369863013698,0.0082269807671683,0.0347581766545772,0.0008566523902118
6,Random,0.026318893228861,0.1751874033840534,0.0505739348370927,0.8179448621553884,0.0329367183689947,0.0064600715413689,0.0005137739353813
6,LPP,0.0047432452133594,0.0363224447878502,0.0116666666666666,0.1741666666666666,0.0063685525105335,0.0582632906734943,0.0025400843005627
384,NCWP,84.63989670606928,86.36631820372878,92.78957215005312,98.98475812145551,81.12800465367714,0.0075290827080607,9.547927766107024e-05
192,NCWP,83.74684368582419,85.53343775077127,92.14783377686985,98.62300631794784,80.16774450816801,0.0081030447036027,-6.150370609248057e-05
96,NCWP,80.68033990015647,82.80922969564571,89.61957570090618,97.621452784481,76.9576751826909,0.0085820769891142,-8.041882324505423e-07
48,NCWP,74.2188834070776,76.96036686028494,83.89348196086972,94.80586304941838,70.24784823966542,0.008837915956974,0.0002412351168459
24,NCWP,43.76707198946023,48.95598997633802,55.99072535573156,78.52630385258952,39.87949936107553,0.0126779777929186,0.0005293594440445
12,NCWP,11.502149576567373,17.06497196881081,18.70969810489384,44.90350127411706,9.883298151346958,0.0132866315543651,-0.0001626535376999
6,NCWP,0.0883743667301511,0.3952966834851165,0.1941245300751879,1.7664583394546356,0.0891681077521377,0.0123583627864718,0.0001194055439555
24,ZCA-only,0.0,,,0.02142857142857143,0.000267073859332608,,
48,ZCA-only,0.0,,,0.006666666666666665,0.00037499999999999995,,
96,ZCA-only,0.0,,,0.03833333333333333,0.0011902241692369948,,
192,ZCA-only,0.0,,,0.021666666666666667,0.0005011890339659891,,
384,ZCA-only,0.0,,,0.03166666666666666,0.0006412783308340316,,
