dim,method,ndcg@10,ndcg@100,recall@10,recall@100,map,anisotropy,self_sim
4096,Base,52.83251702218864,56.880371477120526,63.07417276122273,80.47763163513187,48.8706399115088,0.7193201184272766,0.5178768634796143
2048,NCWP_Default,70.43518308936811,73.88341339970847,82.2585557502693,95.84547069539036,65.9083246179417,0.0394562967121601,0.0015446449397131
1024,NCWP_Default,69.83554013542701,73.32974017059192,81.85431553610758,95.72175899525784,65.25628261597173,0.0394427850842475,0.001580027048476
512,NCWP_Default,69.11773731712228,72.61414683781584,81.06641721412363,94.99756394561156,64.52873384034264,0.0396960787475109,0.0016986902337521
256,NCWP_Default,67.55815618403808,71.10719310130008,79.21111345519617,93.46280893057472,63.070020989983966,0.0428841784596443,0.0019762103911489
128,NCWP_Default,64.15753741662958,67.8204114544779,75.69349811068732,90.76008714800751,59.70460204787239,0.0426752939820289,0.0018918414134532
64,NCWP_Default,57.62751817984949,61.35646694352308,68.44560406077977,84.16793296590008,53.39303732200927,0.0441140346229076,0.001746263471432
32,NCWP_Default,42.52431000295051,45.83148700114845,50.590828076879326,65.26236611233756,39.27542400958248,0.0362326726317405,0.0010711407521739
16,NCWP_Default,22.4183028515986,25.49785741465633,27.823735709174414,42.110357699089874,20.482919811299197,0.043369136750698,0.0022039271425455
8,NCWP_Default,4.025404485070937,5.570669924478677,5.721413926974299,13.302953399709166,3.631622106532183,0.0357297174632549,0.0006343155400827
4,NCWP_Default,0.1791376896257313,0.4392541440486948,0.313307268170426,1.6595480588726716,0.1672548247583115,0.0594862848520278,0.0040397373959422
