dim,method,ndcg@10,ndcg@100,recall@10,recall@100,map,anisotropy,self_sim
4096,Base,52.83251702218864,56.880371477120526,63.07417276122273,80.47763163513187,48.8706399115088,0.7193201184272766,0.5178768634796143
2048,PCA-White,70.01836127030853,73.49492133801971,82.076839666946,95.81181653853731,65.42268389823005,0.0397015661001205,0.0016138948267325
2048,Soft-White,69.27900364506033,72.84748844988192,81.37002744320401,95.5720075492452,64.68901862247898,0.0414577201008796,0.0016467598034068
2048,Random,53.24506202134326,57.36167909921968,63.47472160094845,81.18717536511365,49.31744634168048,0.0680530741810798,0.0044646291062235
2048,LPP,50.20272887176051,53.78744222767757,59.25529322948431,74.80924868199668,46.54872189943194,0.0720011964440345,0.0058124754577875
1024,PCA-White,67.18702159051688,70.91494000186313,79.19077520888636,94.23885337761924,62.64782692075576,0.0438195504248142,0.0019135562470182
1024,Soft-White,66.07719764471828,69.90851909813688,78.27638209823155,93.87552574007684,61.49002929771626,0.0456989221274852,0.0021457811817526
1024,Random,53.172794689828926,57.28386500297449,63.3374177360386,81.03092794540161,49.2626022247621,0.0681367963552475,0.0047638067044317
1024,LPP,44.3383130459466,47.909368187592335,52.59450735037865,68.24237223244738,40.98898316981735,0.0765661299228668,0.005600478965789
512,PCA-White,62.32397874004071,66.51427009205578,74.53202587739194,91.86958386544632,57.8178951860692,0.0486245118081569,0.002536014188081
512,Soft-White,61.1537986822011,65.42059807413354,73.38914267603448,91.16002226832914,56.65128417716242,0.0505477041006088,0.002366192638874
512,Random,52.92259253880679,57.04204645160619,63.10135516421164,80.81426903300844,49.018894927517366,0.0678068995475769,0.0049104713834822
512,LPP,39.22657117357559,42.77864641775302,47.42564127147656,63.22698422273464,35.99830448401583,0.0796168521046638,0.005976939573884
256,PCA-White,56.06378865223327,60.65890257247957,68.28275384302755,87.73696988902228,51.670255259292105,0.0544672049582004,0.0030260211788117
256,Soft-White,54.88084801977282,59.57979771196992,66.79574246760623,86.79235798570276,50.59391876843689,0.0566057227551937,0.0034560468047857
256,Random,51.94290189669651,56.08124386913798,61.73741895216759,79.73138202662705,48.12501315532137,0.0725705251097679,0.0047949259169399
256,LPP,35.01386897060532,38.74111234477103,42.78170895483915,59.50870567184935,32.06155242278042,0.0815847218036651,0.0065228589810431
128,PCA-White,48.97343236835277,53.90143114027545,60.12804366133804,81.49967310683638,44.97282637412099,0.0611787438392639,0.0036905575543642
128,Soft-White,48.15870827453034,53.098615443843045,59.07150217507531,80.61086741096332,44.227768427319965,0.0633404552936554,0.0040480033494532
128,Random,49.79040499786333,53.70850135670258,59.47924734327887,76.60194361449895,45.988744140945165,0.0662139952182769,0.0043948721140623
128,LPP,31.939414235623843,35.64723330711968,39.52693572568762,56.31070476648736,29.10930335061021,0.0826191306114196,0.0071361046284437
