method,dim,ndcg@10
PCA-White,40,0.0
PCA-White,80,0.0
PCA-White,160,0.013203406128629544
PCA-White,320,0.0
PCA-White,640,0.0
PCA-White,1280,0.0
Soft-White,40,0.0
Soft-White,80,0.0
Soft-White,160,0.0
Soft-White,320,0.0
Soft-White,640,0.0
Soft-White,1280,0.0
Random,40,0.0
Random,80,0.0
Random,160,0.0
Random,320,0.0
Random,640,0.0
Random,1280,0.0
LPP,40,0.0
LPP,80,0.0
LPP,160,0.013203406128629544
LPP,320,0.0
LPP,640,0.0
LPP,1280,0.0
NCWP,40,0.0
NCWP,80,0.010219119879424305
NCWP,160,0.00967132018086354
NCWP,320,0.010219119879424305
NCWP,640,0.010219119879424305
NCWP,1280,0.013203406128629544
