dim,method,ndcg@10,ndcg@100,recall@10,recall@100,map,anisotropy,self_sim
2560,Base,61.10056551653516,64.18609079025174,69.31391274469559,82.64156789570582,57.340464878727104,0.8505092263221741,0.7232019901275635
1280,NCWP_Default,83.83811080441723,85.57706717913,91.8792387728341,98.7500088632632,80.47448555408157,0.066530704498291,0.004532347433269
640,NCWP_Default,83.00427952758244,84.99982646972983,90.591813177596,98.5367283829676,79.78481658186864,0.0695806220173835,0.0050372779369354
320,NCWP_Default,81.99327450951023,83.83566465902996,90.13699465679689,97.80387164439966,78.4571536136803,0.0721409246325492,0.0052342810668051
160,NCWP_Default,77.8114583808125,79.99023789211739,86.74617850575443,95.91459524431508,73.97155330704798,0.065690629184246,0.0040982579812407
80,NCWP_Default,71.79364720012788,74.30284476846964,80.0561072575582,90.90575620739412,68.05233772070207,0.0758661478757858,0.0059243501164019
40,NCWP_Default,61.44803943711745,64.708467853262,70.24470529146872,84.4727601756481,57.628087111718926,0.080214723944664,0.006606257520616
20,NCWP_Default,42.49465414092192,46.11971538218641,50.22778068829412,66.8483025588762,39.31069864288319,0.0551118589937686,0.0026530425529927
10,NCWP_Default,14.73583287283173,18.374195465584496,19.583262429971988,36.82801616479925,13.276435330281236,0.0718437731266021,0.0067817983217537
5,NCWP_Default,2.8416546035360253,5.144047137374529,4.359725723622782,15.709150035014003,2.5972859227549647,0.0742081776261329,0.0061581213958561
