dim,method,ndcg@10,ndcg@100,recall@10,recall@100,map,anisotropy,self_sim
2560,Base,61.10056551653516,64.18609079025174,69.31391274469559,82.64156789570582,57.340464878727104,0.8505092263221741,0.7232019901275635
1280,PCA-White,84.0985324399099,85.79056660580338,92.1964959660719,98.87182734052348,80.725684427223,0.0662881135940551,0.0043808403424918
1280,Soft-White,83.45220068540526,85.25807190199762,91.70984683933658,98.8942244800219,80.01726621086632,0.0676766261458396,0.0044906344264745
1280,Random,62.940391491374726,66.28525470237638,70.881298657394,85.56897971401204,59.353791436593625,0.0744674727320671,0.0047204745933413
1280,LPP,60.57481177211517,63.37121340455119,67.07770653232558,79.47693435276409,57.3637308655745,0.0674214586615562,0.0041773910634219
640,PCA-White,81.87880996075117,83.81093419247897,90.3265863558067,98.19831744165796,78.33596482617321,0.0659664869308471,0.0043349941261112
640,Soft-White,80.2841448030972,82.6039674304384,88.79802144251117,98.1981433796089,76.75054312707907,0.0703913271427154,0.0048058461397886
640,Random,62.25642358045332,65.72837944788638,69.78193563057407,84.69058394909688,58.86673565569915,0.0696405991911888,0.0049113961867988
640,LPP,51.81867458573263,54.577835252604615,58.086446611690654,70.49962489737275,48.694912351851336,0.067645251750946,0.0050085801631212
320,PCA-White,71.90843352755037,74.84539983683332,81.49634330025114,93.87937464235956,67.99482898118566,0.07382333278656,0.0048573045060038
320,Soft-White,74.03919734632933,77.0920937994107,83.24729518361681,96.1140785782704,70.2585025617857,0.0771873593330383,0.0060491492040455
320,Random,61.45984925082642,64.84936127166982,69.40439389548922,84.33514042829776,57.9302157072645,0.0734521448612213,0.0055638351477682
320,LPP,43.28115371567362,46.390892472930105,49.15437730408255,63.273103277230426,40.49872735433823,0.0676732882857322,0.004076805897057
160,PCA-White,67.58880728581941,71.2572431848125,77.50100344853197,93.05069589055582,63.6158550677123,0.0754865780472755,0.0058110146783292
160,Soft-White,66.49619407198243,70.23042792867888,76.59052725805579,92.55012750659304,62.46007387453735,0.0766778141260147,0.0056172711774706
160,Random,59.5924308312816,62.91104175103083,67.61070837961623,82.37520987274219,55.94433115366287,0.0667113363742828,0.0044084899127483
160,LPP,35.79485021367083,39.086526240254685,42.34504198662224,57.42112177629672,32.95855933337167,0.0678555518388748,0.0050321579910814
80,PCA-White,59.19030670956379,63.42528000094821,69.41628873675907,87.81758155757078,55.14662786967972,0.0801026672124862,0.0067476229742169
80,Soft-White,58.08516798643713,62.38183785152148,68.37650904327248,87.08658588657511,54.06088268260182,0.0812030360102653,0.0069460105150938
80,Random,58.51761638330135,61.74899703978171,66.32049303342026,80.69186867131909,54.9649255089996,0.0761079266667366,0.0051364321261644
80,LPP,30.30590698994809,33.8755252419132,36.17307479313564,52.92959810360925,27.837785005730165,0.068265363574028,0.0034439892042428
40,PCA-White,50.79695775778347,55.18352796914228,60.252840460897005,80.1776395730706,47.02234827468057,0.086281307041645,0.0078791854903101
40,Soft-White,49.75941431043756,54.176658661620245,59.25307855613509,79.35504532703887,45.98248624324564,0.0862736329436302,0.0072775068692862
40,Random,50.71532760592458,53.95490926864567,58.75412928820953,73.48680829228243,47.1454675013038,0.0759017392992973,0.0059692757204174
40,LPP,25.453968847580946,28.978968844009867,31.336102639331592,47.88860370585015,23.12600740107126,0.0688079446554184,0.0060314554721117
20,PCA-White,37.276395528311134,41.82621991627295,46.133734515357865,66.54438885467981,33.934376007309815,0.0874059647321701,0.0078856982290744
20,Soft-White,36.990494220868406,41.470721772626064,45.81200832488168,65.95533832785988,33.657859186091734,0.0865632146596908,0.0077503435313701
20,Random,36.2699028483184,39.87371804753343,43.21745270090795,59.87080579501915,33.37691074471454,0.0885067656636238,0.0086336592212319
20,LPP,20.17422474800284,23.8875424710853,25.649956805998254,43.13056799156444,18.17770358820055,0.0666989535093307,0.003543977625668
10,PCA-White,20.213064121737823,24.703665457491404,26.764852639331597,48.00729360853537,18.07283075837292,0.0836096182465553,0.0061065969057381
10,Soft-White,20.04369792469349,24.498775629171934,26.289852639331595,47.24692158472584,17.99769317072596,0.0821550711989402,0.0065898345783352
10,Random,16.747585361828754,20.60487342300056,22.222195961718025,40.69794348055314,15.05099559579278,0.1100114285945892,0.0128589067608118
10,LPP,15.067633218218344,18.858451550209587,19.484899334733893,37.38927249348015,13.615650547295752,0.0631468519568443,0.0026432445738464
5,PCA-White,4.676897142110449,7.292712751468029,7.3791532345696895,20.27747282389968,4.035766422739355,0.0676863044500351,0.0059822387993335
5,Soft-White,4.690819806802415,7.245579854387126,7.445819901236357,20.038248685968643,4.029937683720659,0.0665594935417175,0.0051647825166583
5,Random,3.64024765794788,5.925722392842917,5.779487628384688,16.937123881161657,3.191819542134433,0.0526697449386119,0.0023720688186585
5,LPP,4.818453586771203,7.478156487324282,7.262015337744293,20.20489579308735,4.267577506738123,0.0555763617157936,0.0026181424036622
