dim,method,ndcg@10,ndcg@100,recall@10,recall@100,map,anisotropy,self_sim
3584,Base,39.67410357571234,43.66044738097128,48.56244506106997,66.33468796099426,36.30377822377625,0.8109359741210938,0.6582999229431152
1792,PCA-White,66.67315155466763,70.46077274699616,79.24009987247479,94.46369712857135,61.99234889371182,0.0416079200804233,0.0017068613087758
1792,Soft-White,65.32025254521531,69.23231562445638,77.83950742586386,93.68974403063412,60.68629510128265,0.0442008003592491,0.0018686844268813
1792,Random,40.27471687252744,44.36583054262217,48.80225188464952,66.97066894342947,37.05047670559763,0.071023128926754,0.0047564939595758
1792,LPP,35.87247705715655,39.576460013961466,43.01505193913343,59.80733753284105,33.073169169814136,0.0731923952698707,0.0060578729026019
896,PCA-White,63.2798487044439,67.38987493592924,75.48933176857354,92.36962771620512,58.74867563192898,0.0463687442243099,0.0019792697858065
896,Soft-White,61.59704477381565,65.79358236311478,73.9029166573868,91.32874018079131,57.05323703143706,0.0488952100276947,0.0024465741589665
896,Random,40.28677893351978,44.42575697467541,48.754687949881934,67.13401222298887,37.086321059634464,0.0726680159568786,0.0053284578025341
896,LPP,31.44935191493502,35.06054007383442,38.15442688379444,54.64269848025837,28.879263173170965,0.0749021992087364,0.0057330289855599
448,PCA-White,58.24104204656929,62.74355044237222,70.25440432375323,89.10916066744865,53.86263779985099,0.0505377314984798,0.0027016876265406
448,Soft-White,56.384996499867135,60.88529796092703,68.50612852595862,87.56208176117231,51.98021483677682,0.0535233318805694,0.0028569905553013
448,Random,39.86567503467129,43.972702692636965,48.27849495719706,66.59016172197482,36.681068328553565,0.0705755725502967,0.0053843627683818
448,LPP,28.457895649755702,32.01059211776546,34.86854072811813,51.23970258979158,26.039992810427915,0.0758969634771347,0.0055204951204359
224,PCA-White,51.89007849783936,56.76825604881903,63.27444576734727,84.19287614590255,47.8040244834109,0.0563263520598411,0.0030767309945076
224,Soft-White,49.83935023221859,54.719048261396566,61.16133762475886,82.24151551646642,45.78630701992349,0.0593184009194374,0.0037304018624126
224,Random,38.52372439603503,42.44369088357026,46.75093212231411,64.28400978974254,35.380574646616026,0.0709629356861114,0.0043784398585557
224,LPP,26.431412704539365,29.9292558000198,32.73618710034517,48.8832941205867,24.101496693193383,0.0765255764126777,0.0050616394728422
112,PCA-White,44.52212197546741,49.40676347864876,55.25391003325454,76.58434222573084,40.724739960245344,0.0636072233319282,0.0037555049639195
112,Soft-White,43.09607407403736,47.98704053917483,53.55861084639479,75.10946381799593,39.3935921553158,0.0659910887479782,0.0042575905099511
112,Random,38.71756120769579,42.68952873439772,47.13697630658656,64.76383302663777,35.543660074218096,0.0675935447216034,0.0054457569494843
112,LPP,24.90355329311624,28.28983474738544,31.09922391586883,46.78840150631543,22.64590547517365,0.0771314278244972,0.0061453031376004
56,PCA-White,36.385159200284434,41.070256125802125,45.33714927043266,66.39377220601375,33.21977193383649,0.0727447792887687,0.0054264818318188
56,Soft-White,35.71735700221954,40.33545376579729,44.48614372856075,65.26341106281504,32.60786978535716,0.0732016339898109,0.0058822585269808
56,Random,33.3897311289294,37.13277523743191,40.8353966039392,57.67664825097738,30.56298902015432,0.067185066640377,0.0049741165712475
56,LPP,22.983446964773325,26.30962150470419,28.78490939688964,44.20348617172434,20.906484115909823,0.0781800374388694,0.0057065179571509
28,PCA-White,27.751650705550645,31.974927859888368,34.791010146995404,54.00360983055359,25.32073865664811,0.0680358335375785,0.0050198277458548
28,Soft-White,27.505951344155623,31.73128406564627,34.41315650969068,53.664183231740544,25.12355376050252,0.0698399469256401,0.0042960755527019
28,Random,26.56289808611906,29.75279605246388,32.46616150575023,47.17590790210171,24.328336040265903,0.0723543763160705,0.0050079496577382
28,LPP,19.847253247273823,23.01653836689858,25.005233893529397,39.67026310444993,18.044075552762266,0.0786980241537094,0.0058448482304811
14,PCA-White,16.79401197001361,20.064685408695446,21.664940863677447,37.10490614449965,15.19414340435132,0.0783017352223396,0.0060674943961203
14,Soft-White,16.79147928029846,20.066079192704716,21.67286645891554,37.16228581762971,15.184659059081856,0.0791661217808723,0.0061652483418583
14,Random,16.89690181007103,19.75685761268172,21.86725464010194,35.27383196739528,15.229292039008746,0.0519479066133499,0.0018066449556499
14,LPP,14.292241517056512,17.076035244209802,18.73043817531498,31.766206148559444,12.86989767674966,0.0774120986461639,0.0060391691513359
7,PCA-White,5.3668655848952405,7.353440518873929,7.56917431584395,17.149544102249227,4.81078857603892,0.0897931233048439,0.0088451243937015
7,Soft-White,5.373490299076589,7.35884165406426,7.563757649177283,17.13182133025334,4.821084777053862,0.0894869491457939,0.0096689704805612
7,Random,3.316741982686376,4.9769270366286005,5.012565304900637,13.062620468807076,2.944845487778043,0.0789282396435737,0.0070322169922292
7,LPP,5.09280903887452,6.894263935538175,7.136240177419341,15.864293510443858,4.559301645436319,0.087496280670166,0.0096978275105357
1792,NCWP,67.59584753195384,71.26476937191738,80.10755901284759,94.81280697668176,62.89226360580352,0.0398217812180519,0.0015998770250007
896,NCWP,67.14329066807278,70.85644157341223,79.50765204859064,94.45806655079708,62.50407338209831,0.0399663373827934,0.0015667253173887
448,NCWP,66.10677088196854,69.86678861060125,78.51343372832955,93.7265160906421,61.43643069248179,0.0431037880480289,0.0018806816078722
224,NCWP,64.5019364831273,68.33000617200129,76.61048705488915,92.1134116941386,59.94536999317255,0.0395282469689846,0.0016423258930444
112,NCWP,60.854129906100894,64.54884747221827,72.34672332316894,87.73979721145093,56.39663905561195,0.0379628390073776,0.001660393550992
56,NCWP,52.300375590207125,55.83706509464172,62.36407086820226,77.58419070928113,48.32493145405283,0.0379998460412025,0.0012636758619919
28,NCWP,36.12275826602271,39.52434945852757,43.28215191490445,58.71298222113539,33.32024750085898,0.0435066856443882,0.0021854862570762
14,NCWP,15.170524365251984,17.801633298021635,19.456692003405863,31.84124982271279,13.735534461798371,0.0439545549452304,0.0023539122194051
7,NCWP,2.216863483482744,3.315329677302755,3.475360349402919,8.910571152599468,1.9395315870803136,0.0248321685940027,0.0003001929726451
