sweep_param,param_value,dim,hp_k,hp_temperature,hp_lc,hp_lo,hp_lk,ndcg@10,ndcg@100,recall@10,recall@100,map
k,2.0,32,2,0.12,1.0,1.0,1.0,51.86319804546815,54.62530616995153,58.105268963907406,70.83427449571782,48.933035547849784
k,2.0,64,2,0.12,1.0,1.0,1.0,69.6857942124852,71.82012016872878,75.75116182105025,85.08089310410683,66.65721198620092
k,5.0,32,5,0.12,1.0,1.0,1.0,53.02885711607844,55.774100198909906,59.39232168010883,72.10082761931837,50.12396696337825
k,5.0,64,5,0.12,1.0,1.0,1.0,68.71612385554064,71.03476725571126,75.08025137732733,85.35025157489851,65.52841025799238
k,10.0,32,10,0.12,1.0,1.0,1.0,51.13573509815945,53.85812050809563,57.86730679915644,70.07199107216032,48.11113162296273
k,10.0,64,10,0.12,1.0,1.0,1.0,67.62896183453869,69.94407051077138,74.38620290305255,84.34110002242798,64.48684958318665
k,20.0,32,20,0.12,1.0,1.0,1.0,51.43752662065443,54.292300493076006,57.719259966917804,70.44206652057375,48.52923733262951
k,20.0,64,20,0.12,1.0,1.0,1.0,68.34769887311717,70.54374282213068,74.7462064639074,84.1157699513975,65.20025952898504
k,40.0,32,40,0.12,1.0,1.0,1.0,50.235521545159976,53.06710164014269,57.03453979724073,70.11122914251906,47.09335608484938
k,40.0,64,40,0.12,1.0,1.0,1.0,67.83879596395288,70.24461048583447,74.18938647833741,84.67187810808755,64.71949510994845
k,80.0,32,80,0.12,1.0,1.0,1.0,50.6180345070174,53.634843030967836,57.52193101234748,70.95445153322562,47.67376276257745
k,80.0,64,80,0.12,1.0,1.0,1.0,67.35962658552947,69.57398436618783,73.52675956262861,83.52886927903344,64.17902730166945
temperature,0.02,32,10,0.02,1.0,1.0,1.0,49.64015884549569,52.856165429542415,56.015470626468975,70.62602386056304,46.79485167972646
temperature,0.02,64,10,0.02,1.0,1.0,1.0,67.7903078314117,70.00012773211346,73.78225363512698,83.38508024957633,64.72463192668383
temperature,0.05,32,10,0.05,1.0,1.0,1.0,50.826353710838,53.68303647849495,57.654656885612134,70.6836450366458,47.79713230091852
temperature,0.05,64,10,0.05,1.0,1.0,1.0,67.64331886657679,70.10297546687026,73.40407722820058,84.29311305608974,64.73062610260344
temperature,0.08,32,10,0.08,1.0,1.0,1.0,50.62772628115968,53.361240999583906,57.78248246281272,70.11727942731429,47.40682334750205
temperature,0.08,64,10,0.08,1.0,1.0,1.0,67.50935387271608,69.89774937154549,74.03154115316451,84.30342325475122,64.37656072576429
temperature,0.12,32,10,0.12,1.0,1.0,1.0,51.13573509815945,53.85812050809563,57.86730679915644,70.07199107216032,48.11113162296273
temperature,0.12,64,10,0.12,1.0,1.0,1.0,67.62896183453869,69.94407051077138,74.38620290305255,84.34110002242798,64.48684958318665
temperature,0.2,32,10,0.2,1.0,1.0,1.0,51.13666154207435,53.82360866150516,57.743828761389615,69.96883131700956,48.1543482724117
temperature,0.2,64,10,0.2,1.0,1.0,1.0,67.8843288793341,70.1810701903395,74.57485660447564,84.48366245400982,64.72037579723046
temperature,0.4,32,10,0.4,1.0,1.0,1.0,51.17070003973555,53.94257482175961,57.87153213440548,70.5969017535175,48.12544875481713
temperature,0.4,64,10,0.4,1.0,1.0,1.0,68.2458566733213,70.56935492350651,74.69133477907882,84.59921800956538,65.18711588738884
λ_contrast,0.1,32,10,0.12,1.0,1.0,0.1,52.09738422896676,54.85509571888786,59.11607168010883,71.40861104342468,49.00769346535072
λ_contrast,0.1,64,10,0.12,1.0,1.0,0.1,68.85329522778315,71.09737139286463,75.75364833956048,85.50973277856076,65.65089411253979
λ_contrast,0.5,32,10,0.12,1.0,1.0,0.5,51.299139435614705,54.025561812798585,58.16194965629929,70.45693154835078,48.23982260364001
λ_contrast,0.5,64,10,0.12,1.0,1.0,0.5,67.78363402644288,70.08666300205225,74.57474456971921,84.43395716528514,64.63730619403817
λ_contrast,1.0,32,10,0.12,1.0,1.0,1.0,51.13573509815945,53.85812050809563,57.86730679915644,70.07199107216032,48.11113162296273
λ_contrast,1.0,64,10,0.12,1.0,1.0,1.0,67.62896183453869,69.94407051077138,74.38620290305255,84.34110002242798,64.48684958318665
λ_contrast,2.0,32,10,0.12,1.0,1.0,2.0,51.07843866524707,53.78244290179448,57.89230679915644,70.10693154835079,48.020027037799046
λ_contrast,2.0,64,10,0.12,1.0,1.0,2.0,67.56720436829113,69.91629741387112,74.27739337924302,84.39110002242799,64.44909653805735
λ_contrast,5.0,32,10,0.12,1.0,1.0,5.0,51.05339685575652,53.77601088012259,57.797678822965956,70.08568154835079,48.014574605148425
λ_contrast,5.0,64,10,0.12,1.0,1.0,5.0,67.51944818535341,69.8665465980883,74.17739337924303,84.25776668909467,64.41368602913342
λ_contrast,10.0,32,10,0.12,1.0,1.0,10.0,51.0832140474574,53.77757614276072,57.892321680108815,70.10068154835079,48.01731202720159
λ_contrast,10.0,64,10,0.12,1.0,1.0,10.0,67.50436554975336,69.84412753757047,74.16072671257636,84.18276668909466,64.40143895183125
λ_cov,0.1,32,10,0.12,0.1,1.0,1.0,51.13573509815945,53.85786420412737,57.86730679915644,70.07199107216032,48.1109663013456
λ_cov,0.1,64,10,0.12,0.1,1.0,1.0,67.63598533005462,69.95133906572322,74.38620290305255,84.34110002242798,64.49757937380949
λ_cov,0.5,32,10,0.12,0.5,1.0,1.0,51.13573509815945,53.85812507153296,57.86730679915644,70.07199107216032,48.111132515401756
λ_cov,0.5,64,10,0.12,0.5,1.0,1.0,67.63897449431359,69.95344019463035,74.38620290305255,84.34110002242798,64.49930315986676
λ_cov,1.0,32,10,0.12,1.0,1.0,1.0,51.13573509815945,53.85812050809563,57.86730679915644,70.07199107216032,48.11113162296273
λ_cov,1.0,64,10,0.12,1.0,1.0,1.0,67.62896183453869,69.94407051077138,74.38620290305255,84.34110002242798,64.48684958318665
λ_cov,2.0,32,10,0.12,2.0,1.0,1.0,51.21380120072042,53.907907876539106,57.949449656299294,70.05949107216031,48.17688202055147
λ_cov,2.0,64,10,0.12,2.0,1.0,1.0,67.64629002881733,69.96151920702512,74.38620290305255,84.34110002242798,64.51092214974925
λ_cov,5.0,32,10,0.12,5.0,1.0,1.0,51.205448354409256,53.9220821350736,57.899449656299296,70.10949107216031,48.18856521662764
λ_cov,5.0,64,10,0.12,5.0,1.0,1.0,67.64629002881733,69.96156048198824,74.38620290305255,84.34110002242798,64.51093771087083
λ_cov,10.0,32,10,0.12,10.0,1.0,1.0,51.21353741263776,53.92303455389202,57.94230679915644,70.12199107216031,48.18518397323711
λ_cov,10.0,64,10,0.12,10.0,1.0,1.0,67.64399732101265,69.96665967477557,74.38620290305255,84.39110002242799,64.50912613693497
λ_orth,0.1,32,10,0.12,1.0,0.1,1.0,51.06533964374944,53.77265727972592,57.86017882296597,70.10068154835079,48.015102722599565
λ_orth,0.1,64,10,0.12,1.0,0.1,1.0,67.50436554975336,69.84461795481047,74.16072671257636,84.18276668909466,64.40187983692117
λ_orth,0.5,32,10,0.12,1.0,0.5,1.0,51.07843866524707,53.7821522498654,57.89230679915644,70.10693154835079,48.019793521315535
λ_orth,0.5,64,10,0.12,1.0,0.5,1.0,67.56720436829113,69.91623013849573,74.27739337924302,84.39110002242799,64.44906057451941
λ_orth,1.0,32,10,0.12,1.0,1.0,1.0,51.13573509815945,53.85812050809563,57.86730679915644,70.07199107216032,48.11113162296273
λ_orth,1.0,64,10,0.12,1.0,1.0,1.0,67.62896183453869,69.94407051077138,74.38620290305255,84.34110002242798,64.48684958318665
λ_orth,2.0,32,10,0.12,1.0,2.0,1.0,51.320877467727456,54.03938306070156,58.17617379423034,70.47068154835078,48.25463879152487
λ_orth,2.0,64,10,0.12,1.0,2.0,1.0,67.7770875387643,70.08011618457074,74.57474456971921,84.43395716528514,64.629029480041
λ_orth,5.0,32,10,0.12,1.0,5.0,1.0,51.5795424842786,54.36285015750173,58.576590460897,71.16464980231905,48.49354361552969
λ_orth,5.0,64,10,0.12,1.0,5.0,1.0,68.20118519789094,70.51043255025786,75.01151540305256,84.82562383195179,65.06395947362863
λ_orth,10.0,32,10,0.12,1.0,10.0,1.0,52.12208215322009,54.8648912665828,59.19523834677549,71.50861104342468,48.99917745037372
λ_orth,10.0,64,10,0.12,1.0,10.0,1.0,68.86765216738353,71.10481917415402,75.77864833956049,85.49723277856074,65.66842631555141
