sweep_param,param_value,dim,hp_k,hp_cosine_tau,hp_temperature,hp_lc,hp_lo,hp_lk,ndcg@10,ndcg@100,recall@10,recall@100,map
k (top-m/top-K),2.0,32,2,-2.0,0.12,1.0,1.0,1.0,48.50242688006175,51.61973171854785,55.41854858897581,69.57810231132683,45.43167511118842
k (top-m/top-K),2.0,64,2,-2.0,0.12,1.0,1.0,1.0,65.44352270689151,67.97950688559504,72.33017386264851,83.52278222495895,62.147911650973654
k (top-m/top-K),5.0,32,5,-2.0,0.12,1.0,1.0,1.0,47.79383753241104,50.86483375596719,55.10071248470653,69.00310884398169,44.74041547085881
k (top-m/top-K),5.0,64,5,-2.0,0.12,1.0,1.0,1.0,64.10096014956046,66.77942300663877,71.28018173073826,82.89997829278002,60.866513060689506
k (top-m/top-K),10.0,32,10,-2.0,0.12,1.0,1.0,1.0,46.8535678027081,49.900252334744025,53.42711334677549,67.7859219348659,43.995534515132256
k (top-m/top-K),10.0,64,10,-2.0,0.12,1.0,1.0,1.0,63.43613869011002,66.17731220307935,70.64835838645804,82.72822919776584,60.146519642666995
k (top-m/top-K),20.0,32,20,-2.0,0.12,1.0,1.0,1.0,46.611038170059814,49.82621470304068,53.173301770420814,67.76382018899514,43.77849085914633
k (top-m/top-K),20.0,64,20,-2.0,0.12,1.0,1.0,1.0,63.30041366469107,65.99360614099416,69.8218346671218,81.48778570806587,60.208030921610046
k (top-m/top-K),40.0,32,40,-2.0,0.12,1.0,1.0,1.0,46.11054568131727,49.26395778013671,52.887651113606346,67.34577404093821,43.13913762371141
k (top-m/top-K),40.0,64,40,-2.0,0.12,1.0,1.0,1.0,64.41060262333667,66.94225193158564,70.69451143479857,81.99054695663533,61.20921687516196
k (top-m/top-K),80.0,32,80,-2.0,0.12,1.0,1.0,1.0,45.25807147126808,48.62480271071275,51.24487128328343,66.74717775041051,42.627504724643146
k (top-m/top-K),80.0,64,80,-2.0,0.12,1.0,1.0,1.0,64.21315748604174,66.73646720045797,70.72145542830508,81.98160666082003,61.05374077221719
cosine_tau (τ),-2.0,32,10,-2.0,0.12,1.0,1.0,1.0,46.8535678027081,49.900252334744025,53.42711334677549,67.7859219348659,43.995534515132256
cosine_tau (τ),-2.0,64,10,-2.0,0.12,1.0,1.0,1.0,63.43613869011002,66.17731220307935,70.64835838645804,82.72822919776584,60.146519642666995
cosine_tau (τ),0.0,32,10,0.0,0.12,1.0,1.0,1.0,46.8535678027081,49.900252334744025,53.42711334677549,67.7859219348659,43.995534515132256
cosine_tau (τ),0.0,64,10,0.0,0.12,1.0,1.0,1.0,63.43613869011002,66.17731220307935,70.64835838645804,82.72822919776584,60.146519642666995
cosine_tau (τ),0.3,32,10,0.3,0.12,1.0,1.0,1.0,46.261729179039705,49.637049540718095,52.447712689961044,67.7984888136289,43.668754059369334
cosine_tau (τ),0.3,64,10,0.3,0.12,1.0,1.0,1.0,63.38968986453718,66.29838767163328,70.46710633391288,83.12089935686917,60.201334430051
cosine_tau (τ),0.5,32,10,0.5,0.12,1.0,1.0,1.0,46.83263762814173,49.88501469857139,53.40360144201358,67.68758860153257,43.9804033110212
cosine_tau (τ),0.5,64,10,0.5,0.12,1.0,1.0,1.0,63.437142118182464,66.19431953535968,70.63444469598184,82.77510419776584,60.15942782568604
cosine_tau (τ),0.7,32,10,0.7,0.12,1.0,1.0,1.0,46.8535678027081,49.900252334744025,53.42711334677549,67.7859219348659,43.995534515132256
cosine_tau (τ),0.7,64,10,0.7,0.12,1.0,1.0,1.0,63.43613869011002,66.17731220307935,70.64835838645804,82.72822919776584,60.146519642666995
cosine_tau (τ),0.8,32,10,0.8,0.12,1.0,1.0,1.0,46.8535678027081,49.900252334744025,53.42711334677549,67.7859219348659,43.995534515132256
cosine_tau (τ),0.8,64,10,0.8,0.12,1.0,1.0,1.0,63.43613869011002,66.17731220307935,70.64835838645804,82.72822919776584,60.146519642666995
temperature,0.02,32,10,-2.0,0.02,1.0,1.0,1.0,46.80741955185467,49.815485365700916,53.244757195981826,66.95333770276658,44.02320848700478
temperature,0.02,64,10,-2.0,0.02,1.0,1.0,1.0,63.68228131699889,66.41789195236836,70.56892070608284,82.76205470654826,60.5196279586281
temperature,0.05,32,10,-2.0,0.05,1.0,1.0,1.0,47.288899887885954,50.26291518013607,53.51587326741042,67.1508972265761,44.49346103986993
temperature,0.05,64,10,-2.0,0.05,1.0,1.0,1.0,63.763379393833475,66.51083319846572,71.03159431719396,83.165834468453,60.44670607688777
temperature,0.08,32,10,-2.0,0.08,1.0,1.0,1.0,46.825161463698414,49.71590222357493,53.63108160074375,67.23027418582375,43.81666448172748
temperature,0.08,64,10,-2.0,0.08,1.0,1.0,1.0,63.47053570369028,66.22803850631355,70.78559052931517,82.95184321664924,60.15652722535418
temperature,0.12,32,10,-2.0,0.12,1.0,1.0,1.0,46.8535678027081,49.900252334744025,53.42711334677549,67.7859219348659,43.995534515132256
temperature,0.12,64,10,-2.0,0.12,1.0,1.0,1.0,63.43613869011002,66.17731220307935,70.64835838645804,82.72822919776584,60.146519642666995
temperature,0.2,32,10,-2.0,0.2,1.0,1.0,1.0,46.795552243730654,49.7751730012016,53.0680855689977,66.63805897646414,44.03240297346712
temperature,0.2,64,10,-2.0,0.2,1.0,1.0,1.0,63.365374658442676,66.15014236955449,70.54942981502946,82.86735908966511,60.09401500693434
temperature,0.4,32,10,-2.0,0.4,1.0,1.0,1.0,46.74706930330907,49.913968747016575,52.80942981502946,67.16187198155123,44.10166557621487
