model,n_tag,N,D,target_dim,method,mean_ms,std_ms
qwen-4b,N1000,1000,2560,32,PCA-Whitening,274.5293731801212,68.05449748224227
qwen-4b,N1000,1000,2560,32,Soft-Whitening,243.07341612875462,5.939913848529523
qwen-4b,N1000,1000,2560,32,NCWP,610.1794282905757,382.4050798422785
qwen-4b,N1000,1000,2560,64,PCA-Whitening,242.55181895568967,3.333903514263484
qwen-4b,N1000,1000,2560,64,Soft-Whitening,243.08790881186724,3.088895748647482
qwen-4b,N1000,1000,2560,64,NCWP,424.7377128340304,1.4236846509992767
qwen-4b,N3000,3000,2560,32,PCA-Whitening,324.51171511784196,3.4954020009257425
qwen-4b,N3000,3000,2560,32,Soft-Whitening,321.4714356698096,0.5787439293602669
qwen-4b,N3000,3000,2560,32,NCWP,507.08687538281083,3.0161980586109367
qwen-4b,N3000,3000,2560,64,PCA-Whitening,329.69603640958667,6.995146380545594
qwen-4b,N3000,3000,2560,64,Soft-Whitening,324.90813406184316,0.24529611438728982
qwen-4b,N3000,3000,2560,64,NCWP,513.5495549067855,1.6467439544552394
llama-8b,N3000,3000,4096,32,PCA-Whitening,970.452580600977,2.2504058210759403
llama-8b,N3000,3000,4096,32,Soft-Whitening,969.6330667473376,1.0350292498920621
llama-8b,N3000,3000,4096,32,NCWP,1530.416647810489,0.797719169503647
llama-8b,N3000,3000,4096,64,PCA-Whitening,974.1056279279292,1.3059120257714103
llama-8b,N3000,3000,4096,64,Soft-Whitening,973.7157735973597,1.2106672071662556
llama-8b,N3000,3000,4096,64,NCWP,1538.4952956810594,1.2662830573988972
