dataset,split,model_nickname,hf_model_id,embedding_type,method,r,fit_size,eval_size,metric_name,metric_value,notes,seed
stsb,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,Base_mean_pool,2560,2910,1379,spearman_x100,31.3107,full dim; sanity check vs existing table,
stsb,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,ABTT_full,2560,2910,1379,spearman_x100,48.0572,m=5,
stsb,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,LPP,80,2910,1379,spearman_x100,30.3359,n_neighbors=10 binary affinity ridge=0.001,
stsb,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,Random,80,2910,1379,spearman_x100,36.3135,QR of Gaussian,42.0
stsb,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,ABTT_PCA_r,80,2910,1379,spearman_x100,40.9331,m=5,
stsb,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,Soft_whitening_main,80,2910,1379,spearman_x100,45.0567,eigenvalue shrinkage alpha=0.1 (main-runner formula),
stsb,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,LPP,320,2910,1379,spearman_x100,33.8381,n_neighbors=10 binary affinity ridge=0.001,
stsb,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,Random,320,2910,1379,spearman_x100,37.3393,QR of Gaussian,42.0
stsb,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,ABTT_PCA_r,320,2910,1379,spearman_x100,44.9928,m=5,
stsb,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,Soft_whitening_main,320,2910,1379,spearman_x100,51.3834,eigenvalue shrinkage alpha=0.1 (main-runner formula),
