dataset,split,model_nickname,hf_model_id,embedding_type,method,r,seed,fit_size,eval_size,metric_name,metric_value,notes,std_if_available
stsb,train+test,qwen-4b,Qwen/Qwen1.5-4B,Echo_mean,Echo,2560,0,2910,7128,spearman_x100,44.6503,raw echo full dim,
stsb,train+test,qwen-4b,Qwen/Qwen1.5-4B,Echo_mean,Echo_ZCA_full,2560,0,2910,7128,spearman_x100,62.7613,ZCA-shrink full D,
stsb,train+test,qwen-4b,Qwen/Qwen1.5-4B,Echo_mean,Echo_PCA_whitening,40,0,2910,7128,spearman_x100,46.238,,
stsb,train+test,qwen-4b,Qwen/Qwen1.5-4B,Echo_mean,Echo_ZCA_only,40,0,2910,7128,spearman_x100,52.4094,,
stsb,train+test,qwen-4b,Qwen/Qwen1.5-4B,Echo_mean,NCWP_on_Echo,40,"[0, 1, 2]",2910,7128,spearman_x100,57.9064,ncwp_ref,0.7434
stsb,train+test,qwen-4b,Qwen/Qwen1.5-4B,Echo_mean,Echo_PCA_whitening,80,0,2910,7128,spearman_x100,52.9389,,
stsb,train+test,qwen-4b,Qwen/Qwen1.5-4B,Echo_mean,Echo_ZCA_only,80,0,2910,7128,spearman_x100,54.9654,,
stsb,train+test,qwen-4b,Qwen/Qwen1.5-4B,Echo_mean,NCWP_on_Echo,80,"[0, 1, 2]",2910,7128,spearman_x100,60.2832,ncwp_ref,0.3939
stsb,train+test,qwen-4b,Qwen/Qwen1.5-4B,Echo_mean,Echo_PCA_whitening,160,0,2910,7128,spearman_x100,58.6525,,
stsb,train+test,qwen-4b,Qwen/Qwen1.5-4B,Echo_mean,Echo_ZCA_only,160,0,2910,7128,spearman_x100,58.206,,
stsb,train+test,qwen-4b,Qwen/Qwen1.5-4B,Echo_mean,NCWP_on_Echo,160,"[0, 1, 2]",2910,7128,spearman_x100,61.5799,ncwp_ref,0.3761
stsb,train+test,qwen-4b,Qwen/Qwen1.5-4B,Echo_mean,Echo_PCA_whitening,320,0,2910,7128,spearman_x100,61.6813,,
stsb,train+test,qwen-4b,Qwen/Qwen1.5-4B,Echo_mean,Echo_ZCA_only,320,0,2910,7128,spearman_x100,61.2318,,
stsb,train+test,qwen-4b,Qwen/Qwen1.5-4B,Echo_mean,NCWP_on_Echo,320,"[0, 1, 2]",2910,7128,spearman_x100,62.3494,ncwp_ref,0.1566
stsb,train+test,qwen-8b,Qwen/Qwen2-7B,Echo_mean,Echo,3584,0,2910,7128,spearman_x100,46.4555,raw echo full dim,
stsb,train+test,qwen-8b,Qwen/Qwen2-7B,Echo_mean,Echo_ZCA_full,3584,0,2910,7128,spearman_x100,64.9274,ZCA-shrink full D,
stsb,train+test,qwen-8b,Qwen/Qwen2-7B,Echo_mean,Echo_PCA_whitening,56,0,2910,7128,spearman_x100,49.6492,,
stsb,train+test,qwen-8b,Qwen/Qwen2-7B,Echo_mean,Echo_ZCA_only,56,0,2910,7128,spearman_x100,55.5652,,
stsb,train+test,qwen-8b,Qwen/Qwen2-7B,Echo_mean,NCWP_on_Echo,56,"[0, 1, 2]",2910,7128,spearman_x100,62.6455,ncwp_ref,0.1352
