dataset,split,model_nickname,hf_model_id,embedding_type,method,r,seed,fit_size,eval_size,metric_name,metric_value,std_if_available,per_seed,flow_blocks,flow_hidden,flow_nll_per_dim,notes
stsb,train+test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,BERTflow_full,2560,"[0, 1, 2]",2910,7128,spearman_x100,55.9608,0.1029,"[56.0104, 55.8176, 56.0544]",6,512,-4.8444,"glow-style flow, fixed perms; full D"
stsb,train+test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,BERTflow_PCA_r,40,"[0, 1, 2]",2910,7128,spearman_x100,50.2197,0.6185,"[50.8607, 50.4145, 49.3837]",6,512,-4.8444,PCA top-r on flow latents
stsb,train+test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,BERTflow_PCA_r,80,"[0, 1, 2]",2910,7128,spearman_x100,53.2042,0.4906,"[53.7121, 53.3595, 52.5408]",6,512,-4.8444,PCA top-r on flow latents
stsb,train+test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,BERTflow_PCA_r,160,"[0, 1, 2]",2910,7128,spearman_x100,55.097,0.4264,"[55.5837, 55.162, 54.5453]",6,512,-4.8444,PCA top-r on flow latents
stsb,train+test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,BERTflow_PCA_r,320,"[0, 1, 2]",2910,7128,spearman_x100,56.0669,0.2105,"[56.1265, 56.2897, 55.7846]",6,512,-4.8444,PCA top-r on flow latents
stsb,train+test,qwen-8b,Qwen/Qwen2-7B,mean_pool,BERTflow_full,3584,"[0, 1, 2]",2910,7128,spearman_x100,57.2262,0.0656,"[57.2874, 57.2559, 57.1352]",6,512,-5.2815,"glow-style flow, fixed perms; full D"
stsb,train+test,qwen-8b,Qwen/Qwen2-7B,mean_pool,BERTflow_PCA_r,56,"[0, 1, 2]",2910,7128,spearman_x100,53.5575,0.2581,"[53.5482, 53.8783, 53.2462]",6,512,-5.2815,PCA top-r on flow latents
stsb,train+test,qwen-8b,Qwen/Qwen2-7B,mean_pool,BERTflow_PCA_r,112,"[0, 1, 2]",2910,7128,spearman_x100,55.7954,0.1017,"[55.8448, 55.8877, 55.6538]",6,512,-5.2815,PCA top-r on flow latents
stsb,train+test,qwen-8b,Qwen/Qwen2-7B,mean_pool,BERTflow_PCA_r,224,"[0, 1, 2]",2910,7128,spearman_x100,56.9768,0.1792,"[57.2301, 56.8603, 56.8402]",6,512,-5.2815,PCA top-r on flow latents
stsb,train+test,qwen-8b,Qwen/Qwen2-7B,mean_pool,BERTflow_PCA_r,448,"[0, 1, 2]",2910,7128,spearman_x100,57.5809,0.2041,"[57.7461, 57.2932, 57.7033]",6,512,-5.2815,PCA top-r on flow latents
stsb,train+test,llama-8b,meta-llama/Meta-Llama-3.1-8B,mean_pool,BERTflow_full,4096,"[0, 1, 2]",2910,7128,spearman_x100,59.4698,0.0541,"[59.5102, 59.3934, 59.5058]",6,512,-4.8442,"glow-style flow, fixed perms; full D"
stsb,train+test,llama-8b,meta-llama/Meta-Llama-3.1-8B,mean_pool,BERTflow_PCA_r,32,"[0, 1, 2]",2910,7128,spearman_x100,53.1261,0.5436,"[53.0147, 53.8406, 52.5231]",6,512,-4.8442,PCA top-r on flow latents
stsb,train+test,llama-8b,meta-llama/Meta-Llama-3.1-8B,mean_pool,BERTflow_PCA_r,64,"[0, 1, 2]",2910,7128,spearman_x100,56.6956,0.3235,"[56.6026, 57.1301, 56.3542]",6,512,-4.8442,PCA top-r on flow latents
stsb,train+test,llama-8b,meta-llama/Meta-Llama-3.1-8B,mean_pool,BERTflow_PCA_r,128,"[0, 1, 2]",2910,7128,spearman_x100,58.689,0.1225,"[58.5157, 58.7779, 58.7733]",6,512,-4.8442,PCA top-r on flow latents
stsb,train+test,llama-8b,meta-llama/Meta-Llama-3.1-8B,mean_pool,BERTflow_PCA_r,256,"[0, 1, 2]",2910,7128,spearman_x100,59.8568,0.2427,"[59.5794, 59.8206, 60.1705]",6,512,-4.8442,PCA top-r on flow latents
