dataset,split,model_nickname,hf_model_id,embedding_type,method,layer_name,layer_idx,pooling,r,seed,fit_size,eval_size,metric_name,metric_value,notes,std_if_available
stsb,train+test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,LayerSelect_last_mean_Base,last,40,mean,2560,"[0, 1, 2]",2910,7128,spearman_x100,36.4514,,
stsb,train+test,qwen-4b,Qwen/Qwen1.5-4B,last_pool,LayerSelect_last_last_Base,last,40,last,2560,"[0, 1, 2]",2910,7128,spearman_x100,27.3804,,
stsb,train+test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,LayerSelect_second_last_mean_Base,second_last,39,mean,2560,"[0, 1, 2]",2910,7128,spearman_x100,42.5207,,
stsb,train+test,qwen-4b,Qwen/Qwen1.5-4B,last_pool,LayerSelect_second_last_last_Base,second_last,39,last,2560,"[0, 1, 2]",2910,7128,spearman_x100,27.4787,,
stsb,train+test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,LayerSelect_middle_mean_Base,middle,20,mean,2560,"[0, 1, 2]",2910,7128,spearman_x100,9.4563,,
stsb,train+test,qwen-4b,Qwen/Qwen1.5-4B,last_pool,LayerSelect_middle_last_Base,middle,20,last,2560,"[0, 1, 2]",2910,7128,spearman_x100,27.6882,,
stsb,train+test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,LayerSelect_early_middle_mean_Base,early_middle,13,mean,2560,"[0, 1, 2]",2910,7128,spearman_x100,13.1863,,
stsb,train+test,qwen-4b,Qwen/Qwen1.5-4B,last_pool,LayerSelect_early_middle_last_Base,early_middle,13,last,2560,"[0, 1, 2]",2910,7128,spearman_x100,23.8584,,
stsb,train+test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,LayerSelect_last_mean_NCWP,last,40,mean,40,"[0, 1, 2]",2910,7128,spearman_x100,51.1575,ncwp_ref (reference),0.3011
stsb,train+test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,LayerSelect_last_mean_NCWP,last,40,mean,80,"[0, 1, 2]",2910,7128,spearman_x100,53.5954,ncwp_ref (reference),0.4797
stsb,train+test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,LayerSelect_last_mean_NCWP,last,40,mean,160,"[0, 1, 2]",2910,7128,spearman_x100,55.4122,ncwp_ref (reference),0.3288
stsb,train+test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,LayerSelect_last_mean_NCWP,last,40,mean,320,"[0, 1, 2]",2910,7128,spearman_x100,56.6451,ncwp_ref (reference),0.0679
stsb,train+test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,LayerSelect_second_last_mean_NCWP,second_last,39,mean,40,"[0, 1, 2]",2910,7128,spearman_x100,52.4974,ncwp_ref (second_last),0.3139
stsb,train+test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,LayerSelect_second_last_mean_NCWP,second_last,39,mean,80,"[0, 1, 2]",2910,7128,spearman_x100,55.1753,ncwp_ref (second_last),0.496
stsb,train+test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,LayerSelect_second_last_mean_NCWP,second_last,39,mean,160,"[0, 1, 2]",2910,7128,spearman_x100,57.0722,ncwp_ref (second_last),0.3693
stsb,train+test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,LayerSelect_second_last_mean_NCWP,second_last,39,mean,320,"[0, 1, 2]",2910,7128,spearman_x100,58.2083,ncwp_ref (second_last),0.0787
stsb,train+test,qwen-8b,Qwen/Qwen2-7B,mean_pool,LayerSelect_last_mean_Base,last,28,mean,3584,"[0, 1, 2]",2910,7128,spearman_x100,37.9557,,
stsb,train+test,qwen-8b,Qwen/Qwen2-7B,last_pool,LayerSelect_last_last_Base,last,28,last,3584,"[0, 1, 2]",2910,7128,spearman_x100,30.059,,
stsb,train+test,qwen-8b,Qwen/Qwen2-7B,mean_pool,LayerSelect_second_last_mean_Base,second_last,27,mean,3584,"[0, 1, 2]",2910,7128,spearman_x100,38.8129,,
stsb,train+test,qwen-8b,Qwen/Qwen2-7B,last_pool,LayerSelect_second_last_last_Base,second_last,27,last,3584,"[0, 1, 2]",2910,7128,spearman_x100,37.7863,,
stsb,train+test,qwen-8b,Qwen/Qwen2-7B,mean_pool,LayerSelect_middle_mean_Base,middle,14,mean,3584,"[0, 1, 2]",2910,7128,spearman_x100,16.5103,,
stsb,train+test,qwen-8b,Qwen/Qwen2-7B,last_pool,LayerSelect_middle_last_Base,middle,14,last,3584,"[0, 1, 2]",2910,7128,spearman_x100,34.3616,,
stsb,train+test,qwen-8b,Qwen/Qwen2-7B,mean_pool,LayerSelect_early_middle_mean_Base,early_middle,9,mean,3584,"[0, 1, 2]",2910,7128,spearman_x100,17.144,,
stsb,train+test,qwen-8b,Qwen/Qwen2-7B,last_pool,LayerSelect_early_middle_last_Base,early_middle,9,last,3584,"[0, 1, 2]",2910,7128,spearman_x100,29.0891,,
stsb,train+test,qwen-8b,Qwen/Qwen2-7B,mean_pool,LayerSelect_last_mean_NCWP,last,28,mean,56,"[0, 1, 2]",2910,7128,spearman_x100,55.0994,ncwp_ref (reference),0.2152
stsb,train+test,qwen-8b,Qwen/Qwen2-7B,mean_pool,LayerSelect_last_mean_NCWP,last,28,mean,112,"[0, 1, 2]",2910,7128,spearman_x100,56.7216,ncwp_ref (reference),0.1304
stsb,train+test,qwen-8b,Qwen/Qwen2-7B,mean_pool,LayerSelect_last_mean_NCWP,last,28,mean,224,"[0, 1, 2]",2910,7128,spearman_x100,58.0524,ncwp_ref (reference),0.358
stsb,train+test,qwen-8b,Qwen/Qwen2-7B,mean_pool,LayerSelect_last_mean_NCWP,last,28,mean,448,"[0, 1, 2]",2910,7128,spearman_x100,58.6175,ncwp_ref (reference),0.2311
stsb,train+test,qwen-8b,Qwen/Qwen2-7B,mean_pool,LayerSelect_second_last_mean_NCWP,second_last,27,mean,56,"[0, 1, 2]",2910,7128,spearman_x100,57.1544,ncwp_ref (second_last),0.3419
stsb,train+test,qwen-8b,Qwen/Qwen2-7B,mean_pool,LayerSelect_second_last_mean_NCWP,second_last,27,mean,112,"[0, 1, 2]",2910,7128,spearman_x100,58.681,ncwp_ref (second_last),0.316
stsb,train+test,qwen-8b,Qwen/Qwen2-7B,mean_pool,LayerSelect_second_last_mean_NCWP,second_last,27,mean,224,"[0, 1, 2]",2910,7128,spearman_x100,60.2206,ncwp_ref (second_last),0.3441
