dataset,split,model_nickname,hf_model_id,embedding_type,method,r,seed,fit_size,eval_size,metric_name,metric_value,std_if_available,per_seed,notes,config_name,k_neighbors,cosine_tau,temperature,shrink,hard_neg_K,qr_interval,lambda_cov,lambda_orth,memory_bank_size,refine_knn_rounds
stsb,train+test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,NCWP_mean_pool,40,"[42, 43, 44]",2910,7128,spearman_x100,50.8391,0.2917,"[51.1965, 50.482, 50.8389]",ncwp_ref config audit,paper_appendix,10,0.0,0.12,0.08,32,200,0.05,0.02,0,1
stsb,train+test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,NCWP_mean_pool,80,"[42, 43, 44]",2910,7128,spearman_x100,53.1708,0.1788,"[53.1343, 52.9725, 53.4057]",ncwp_ref config audit,paper_appendix,10,0.0,0.12,0.08,32,200,0.05,0.02,0,1
stsb,train+test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,NCWP_mean_pool,160,"[42, 43, 44]",2910,7128,spearman_x100,55.1825,0.134,"[55.1066, 55.3707, 55.0701]",ncwp_ref config audit,paper_appendix,10,0.0,0.12,0.08,32,200,0.05,0.02,0,1
stsb,train+test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,NCWP_mean_pool,320,"[42, 43, 44]",2910,7128,spearman_x100,56.3896,0.1678,"[56.3014, 56.2429, 56.6244]",ncwp_ref config audit,paper_appendix,10,0.0,0.12,0.08,32,200,0.05,0.02,0,1
stsb,train+test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,NCWP_mean_pool,40,"[42, 43, 44]",2910,7128,spearman_x100,51.7506,0.6891,"[51.51, 52.6887, 51.053]",ncwp_ref config audit,code_actual,10,0.0,0.12,0.08,256,10,0.05,0.02,0,1
stsb,train+test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,NCWP_mean_pool,80,"[42, 43, 44]",2910,7128,spearman_x100,53.2987,0.3473,"[53.7896, 53.0649, 53.0415]",ncwp_ref config audit,code_actual,10,0.0,0.12,0.08,256,10,0.05,0.02,0,1
stsb,train+test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,NCWP_mean_pool,160,"[42, 43, 44]",2910,7128,spearman_x100,55.5011,0.1631,"[55.5726, 55.6553, 55.2754]",ncwp_ref config audit,code_actual,10,0.0,0.12,0.08,256,10,0.05,0.02,0,1
stsb,train+test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,NCWP_mean_pool,320,"[42, 43, 44]",2910,7128,spearman_x100,56.5673,0.0925,"[56.597, 56.4421, 56.6629]",ncwp_ref config audit,code_actual,10,0.0,0.12,0.08,256,10,0.05,0.02,0,1
stsb,train+test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,NCWP_mean_pool,40,"[42, 43, 44]",2910,7128,spearman_x100,52.0526,0.6358,"[52.4078, 52.5905, 51.1597]",ncwp_ref config audit,camera_ready,10,0.0,0.12,0.08,256,10,0.0,0.0,0,1
stsb,train+test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,NCWP_mean_pool,80,"[42, 43, 44]",2910,7128,spearman_x100,53.7255,0.7433,"[54.5755, 53.8362, 52.7649]",ncwp_ref config audit,camera_ready,10,0.0,0.12,0.08,256,10,0.0,0.0,0,1
