dataset,split,model_nickname,hf_model_id,embedding_type,method,r,seed,fit_size,eval_size,metric_name,metric_value,std_if_available,per_seed,notes,config_name,k_neighbors,cosine_tau,temperature,shrink,hard_neg_K,qr_interval,lambda_cov,lambda_orth,memory_bank_size,refine_knn_rounds
stsb,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,NCWP_mean_pool,40,"[42, 43, 44]",2910,1379,spearman_x100,48.4964,0.9542,"[47.4257, 49.7431, 48.3203]",ncwp_ref config audit,code_actual,10,0.0,0.12,0.08,256,10,0.05,0.02,0,1
stsb,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,NCWP_mean_pool,80,"[42, 43, 44]",2910,1379,spearman_x100,52.6509,0.6509,"[53.0678, 51.7317, 53.1532]",ncwp_ref config audit,code_actual,10,0.0,0.12,0.08,256,10,0.05,0.02,0,1
stsb,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,NCWP_mean_pool,160,"[42, 43, 44]",2910,1379,spearman_x100,54.1418,0.5864,"[53.334, 54.3831, 54.7083]",ncwp_ref config audit,code_actual,10,0.0,0.12,0.08,256,10,0.05,0.02,0,1
stsb,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,NCWP_mean_pool,320,"[42, 43, 44]",2910,1379,spearman_x100,54.8733,0.1584,"[55.0293, 54.656, 54.9345]",ncwp_ref config audit,code_actual,10,0.0,0.12,0.08,256,10,0.05,0.02,0,1
stsb,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,NCWP_mean_pool,40,"[42, 43, 44]",2910,1379,spearman_x100,48.4835,0.5011,"[47.8557, 48.5126, 49.0821]",ncwp_ref config audit,camera_ready,10,0.0,0.12,0.08,256,10,0.0,0.0,0,1
stsb,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,NCWP_mean_pool,80,"[42, 43, 44]",2910,1379,spearman_x100,53.0892,0.6862,"[53.824, 52.1729, 53.2709]",ncwp_ref config audit,camera_ready,10,0.0,0.12,0.08,256,10,0.0,0.0,0,1
stsb,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,NCWP_mean_pool,160,"[42, 43, 44]",2910,1379,spearman_x100,53.2624,1.0097,"[53.5876, 51.8957, 54.304]",ncwp_ref config audit,camera_ready,10,0.0,0.12,0.08,256,10,0.0,0.0,0,1
stsb,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,NCWP_mean_pool,320,"[42, 43, 44]",2910,1379,spearman_x100,54.94,0.7485,"[53.918, 55.2124, 55.6896]",ncwp_ref config audit,camera_ready,10,0.0,0.12,0.08,256,10,0.0,0.0,0,1
stsb,test,qwen-8b,Qwen/Qwen2-7B,mean_pool,NCWP_mean_pool,56,"[42, 43, 44]",2910,1379,spearman_x100,54.6929,0.8649,"[54.3875, 55.8714, 53.8199]",ncwp_ref config audit,code_actual,10,0.0,0.12,0.08,256,10,0.05,0.02,0,1
stsb,test,qwen-8b,Qwen/Qwen2-7B,mean_pool,NCWP_mean_pool,112,"[42, 43, 44]",2910,1379,spearman_x100,56.0638,0.5392,"[56.3326, 55.3114, 56.5473]",ncwp_ref config audit,code_actual,10,0.0,0.12,0.08,256,10,0.05,0.02,0,1
