dataset,split,model_nickname,hf_model_id,embedding_type,method,pooling,r,seed,fit_size,eval_size,metric_name,metric_value,notes,std_if_available
stsb,train+test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,Base_mean_pool,mean,2560,"[0, 1, 2]",2910,7128,spearman_x100,36.4468,full dim,
stsb,train+test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,Mean_PCA_whitening,mean,40,"[0, 1, 2]",2910,7128,spearman_x100,40.7707,,
stsb,train+test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,Mean_ZCA_shrink,mean,40,"[0, 1, 2]",2910,7128,spearman_x100,41.8125,,
stsb,train+test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,NCWP_mean_pool,mean,40,"[0, 1, 2]",2910,7128,spearman_x100,50.5696,ncwp_ref,0.32
stsb,train+test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,Mean_PCA_whitening,mean,80,"[0, 1, 2]",2910,7128,spearman_x100,46.453,,
stsb,train+test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,Mean_ZCA_shrink,mean,80,"[0, 1, 2]",2910,7128,spearman_x100,46.1424,,
stsb,train+test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,NCWP_mean_pool,mean,80,"[0, 1, 2]",2910,7128,spearman_x100,54.2519,ncwp_ref,0.0518
stsb,train+test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,Mean_PCA_whitening,mean,160,"[0, 1, 2]",2910,7128,spearman_x100,50.8961,,
stsb,train+test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,Mean_ZCA_shrink,mean,160,"[0, 1, 2]",2910,7128,spearman_x100,49.7493,,
stsb,train+test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,NCWP_mean_pool,mean,160,"[0, 1, 2]",2910,7128,spearman_x100,55.6591,ncwp_ref,0.3134
stsb,train+test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,Mean_PCA_whitening,mean,320,"[0, 1, 2]",2910,7128,spearman_x100,53.352,,
