model,method,dim,anisotropy_mean,self_sim
qwen-4b,Base,2560,0.7973,0.6388
qwen-4b,NCWP,5,0.014,0.0052
qwen-4b,NCWP,10,0.0116,0.0008
qwen-4b,NCWP,20,0.0084,-0.0033
qwen-4b,NCWP,40,0.0079,-0.0033
qwen-4b,NCWP,80,0.0083,0.0008
qwen-4b,NCWP,160,0.0083,-0.0003
qwen-4b,NCWP,320,0.0078,0.0011
qwen-4b,NCWP,640,0.0079,0.0002
qwen-4b,NCWP,1280,0.0079,-0.0003
qwen-8b,Base,3584,0.7708,0.5971
qwen-8b,NCWP,7,0.0744,0.0103
qwen-8b,NCWP,14,0.069,0.0052
qwen-8b,NCWP,28,0.0841,0.0101
qwen-8b,NCWP,56,0.0753,0.005
qwen-8b,NCWP,112,0.0822,0.0065
qwen-8b,NCWP,224,0.0884,0.0064
qwen-8b,NCWP,448,0.0822,0.0075
qwen-8b,NCWP,896,0.0888,0.0076
qwen-8b,NCWP,1792,0.0834,0.0061
llama-8b,Base,4096,0.6658,0.4443
llama-8b,NCWP,4,0.027,0.004
llama-8b,NCWP,8,0.0137,-0.0043
llama-8b,NCWP,16,0.0114,-0.0018
llama-8b,NCWP,32,0.0104,0.0056
llama-8b,NCWP,64,0.011,-0.0011
llama-8b,NCWP,128,0.0098,-0.0012
llama-8b,NCWP,256,0.0101,0.0007
llama-8b,NCWP,512,0.0106,-0.0015
llama-8b,NCWP,1024,0.0108,-0.0
llama-8b,NCWP,2048,0.0098,-0.0004
