dataset,split,model_nickname,hf_model_id,embedding_type,method,r,seed,fit_size,eval_size,metric_name,metric_value,notes,std_if_available
stsb,train+test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,Base_mean_pool,2560,"[42, 43, 44]",2910,7128,spearman_x100,36.4767,full dim,
stsb,train+test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,ABTT_full,2560,"[42, 43, 44]",2910,7128,spearman_x100,48.6184,m=5,
stsb,train+test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,PCA_whitening,40,"[42, 43, 44]",2910,7128,spearman_x100,40.7896,,
stsb,train+test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,ABTT_PCA_r,40,"[42, 43, 44]",2910,7128,spearman_x100,37.2346,m=5,
stsb,train+test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,ZCA_shrink,40,"[42, 43, 44]",2910,7128,spearman_x100,41.9544,,
stsb,train+test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,NCWP_mean_pool,40,"[42, 43, 44]",2910,7128,spearman_x100,51.1514,ncwp_ref,0.2413
stsb,train+test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,PCA_whitening,80,"[42, 43, 44]",2910,7128,spearman_x100,46.4724,,
stsb,train+test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,ABTT_PCA_r,80,"[42, 43, 44]",2910,7128,spearman_x100,40.3989,m=5,
stsb,train+test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,ZCA_shrink,80,"[42, 43, 44]",2910,7128,spearman_x100,46.1969,,
stsb,train+test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,NCWP_mean_pool,80,"[42, 43, 44]",2910,7128,spearman_x100,53.4669,ncwp_ref,0.1841
stsb,train+test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,PCA_whitening,160,"[42, 43, 44]",2910,7128,spearman_x100,50.933,,
stsb,train+test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,ABTT_PCA_r,160,"[42, 43, 44]",2910,7128,spearman_x100,43.1523,m=5,
stsb,train+test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,ZCA_shrink,160,"[42, 43, 44]",2910,7128,spearman_x100,49.7642,,
stsb,train+test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,NCWP_mean_pool,160,"[42, 43, 44]",2910,7128,spearman_x100,55.7497,ncwp_ref,0.0979
stsb,train+test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,PCA_whitening,320,"[42, 43, 44]",2910,7128,spearman_x100,53.3628,,
stsb,train+test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,ABTT_PCA_r,320,"[42, 43, 44]",2910,7128,spearman_x100,45.0251,m=5,
stsb,train+test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,ZCA_shrink,320,"[42, 43, 44]",2910,7128,spearman_x100,52.8703,,
stsb,train+test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,NCWP_mean_pool,320,"[42, 43, 44]",2910,7128,spearman_x100,56.4401,ncwp_ref,0.074
quora,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,Base_mean_pool,2560,"[42, 43, 44]",2000,10000,ndcg@10,43.6984,full dim,
