dataset,split,model_nickname,hf_model_id,embedding_type,method,r,fit_size,eval_size,metric_name,metric_value,notes,seed
stsb,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,Base_mean_pool,2560,2910,1379,spearman_x100,31.3107,full dim; sanity check vs existing table,
stsb,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,ABTT_full,2560,2910,1379,spearman_x100,48.0572,m=5,
stsb,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,LPP,5,2910,1379,spearman_x100,14.3733,n_neighbors=10 binary affinity ridge=0.001,
stsb,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,Random,5,2910,1379,spearman_x100,22.9062,QR of Gaussian,42.0
stsb,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,ABTT_PCA_r,5,2910,1379,spearman_x100,21.5319,m=5,
stsb,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,Soft_whitening_main,5,2910,1379,spearman_x100,15.2003,eigenvalue shrinkage alpha=0.1 (main-runner formula),
stsb,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,LPP,10,2910,1379,spearman_x100,17.7745,n_neighbors=10 binary affinity ridge=0.001,
stsb,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,Random,10,2910,1379,spearman_x100,30.4671,QR of Gaussian,42.0
stsb,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,ABTT_PCA_r,10,2910,1379,spearman_x100,28.1975,m=5,
stsb,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,Soft_whitening_main,10,2910,1379,spearman_x100,22.8632,eigenvalue shrinkage alpha=0.1 (main-runner formula),
stsb,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,LPP,20,2910,1379,spearman_x100,24.2166,n_neighbors=10 binary affinity ridge=0.001,
stsb,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,Random,20,2910,1379,spearman_x100,31.8289,QR of Gaussian,42.0
stsb,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,ABTT_PCA_r,20,2910,1379,spearman_x100,33.7456,m=5,
stsb,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,Soft_whitening_main,20,2910,1379,spearman_x100,33.4348,eigenvalue shrinkage alpha=0.1 (main-runner formula),
stsb,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,LPP,40,2910,1379,spearman_x100,28.3594,n_neighbors=10 binary affinity ridge=0.001,
stsb,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,Random,40,2910,1379,spearman_x100,36.2351,QR of Gaussian,42.0
stsb,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,ABTT_PCA_r,40,2910,1379,spearman_x100,37.8876,m=5,
stsb,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,Soft_whitening_main,40,2910,1379,spearman_x100,39.5569,eigenvalue shrinkage alpha=0.1 (main-runner formula),
stsb,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,LPP,80,2910,1379,spearman_x100,30.323,n_neighbors=10 binary affinity ridge=0.001,
stsb,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,Random,80,2910,1379,spearman_x100,36.3135,QR of Gaussian,42.0
stsb,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,ABTT_PCA_r,80,2910,1379,spearman_x100,40.9331,m=5,
stsb,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,Soft_whitening_main,80,2910,1379,spearman_x100,45.0567,eigenvalue shrinkage alpha=0.1 (main-runner formula),
stsb,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,LPP,160,2910,1379,spearman_x100,31.9371,n_neighbors=10 binary affinity ridge=0.001,
stsb,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,Random,160,2910,1379,spearman_x100,37.7448,QR of Gaussian,42.0
stsb,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,ABTT_PCA_r,160,2910,1379,spearman_x100,43.3761,m=5,
stsb,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,Soft_whitening_main,160,2910,1379,spearman_x100,49.0297,eigenvalue shrinkage alpha=0.1 (main-runner formula),
stsb,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,LPP,320,2910,1379,spearman_x100,33.8405,n_neighbors=10 binary affinity ridge=0.001,
stsb,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,Random,320,2910,1379,spearman_x100,37.3392,QR of Gaussian,42.0
stsb,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,ABTT_PCA_r,320,2910,1379,spearman_x100,44.9928,m=5,
stsb,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,Soft_whitening_main,320,2910,1379,spearman_x100,51.3834,eigenvalue shrinkage alpha=0.1 (main-runner formula),
stsb,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,LPP,640,2910,1379,spearman_x100,35.7617,n_neighbors=10 binary affinity ridge=0.001,
stsb,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,Random,640,2910,1379,spearman_x100,38.3878,QR of Gaussian,42.0
stsb,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,ABTT_PCA_r,640,2910,1379,spearman_x100,46.1846,m=5,
stsb,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,Soft_whitening_main,640,2910,1379,spearman_x100,53.2511,eigenvalue shrinkage alpha=0.1 (main-runner formula),
stsb,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,LPP,1280,2910,1379,spearman_x100,38.013,n_neighbors=10 binary affinity ridge=0.001,
stsb,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,Random,1280,2910,1379,spearman_x100,37.8081,QR of Gaussian,42.0
