dataset,split,model_nickname,hf_model_id,embedding_type,method,r,seed,fit_size,eval_size,metric_name,metric_value,std_if_available,cond_number,offdiag_cov,avg_feature_std,anisotropy_mean,notes
stsb,train+test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,NCWP_full,5,"[42, 43, 44]",2910,7128,spearman_x100,30.3025,0.4742,1.1915,0.003306,0.445266,0.090656,variant=full trainer=ncwp_ref
stsb,train+test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,NCWP_full,10,"[42, 43, 44]",2910,7128,spearman_x100,39.5382,0.636,1.2137,0.001767,0.315188,0.077119,variant=full trainer=ncwp_ref
stsb,train+test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,NCWP_full,20,"[42, 43, 44]",2910,7128,spearman_x100,46.8356,0.5964,1.2368,0.000977,0.223137,0.061761,variant=full trainer=ncwp_ref
stsb,train+test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,NCWP_no_cov,5,"[42, 43, 44]",2910,7128,spearman_x100,30.2726,0.8291,1.1782,0.003257,0.445102,0.094686,variant=no_cov trainer=ncwp_ref
stsb,train+test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,NCWP_no_cov,10,"[42, 43, 44]",2910,7128,spearman_x100,39.3171,0.9053,1.2236,0.001746,0.315154,0.07877,variant=no_cov trainer=ncwp_ref
stsb,train+test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,NCWP_no_cov,20,"[42, 43, 44]",2910,7128,spearman_x100,46.3684,0.3315,1.2316,0.000978,0.22314,0.060652,variant=no_cov trainer=ncwp_ref
stsb,train+test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,NCWP_no_orth,5,"[42, 43, 44]",2910,7128,spearman_x100,30.7627,0.8101,1.1897,0.003116,0.445075,0.094008,variant=no_orth trainer=ncwp_ref
stsb,train+test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,NCWP_no_orth,10,"[42, 43, 44]",2910,7128,spearman_x100,39.3683,0.9319,1.2342,0.001907,0.315112,0.079618,variant=no_orth trainer=ncwp_ref
stsb,train+test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,NCWP_no_orth,20,"[42, 43, 44]",2910,7128,spearman_x100,46.4357,0.2272,1.2089,0.000991,0.223157,0.060566,variant=no_orth trainer=ncwp_ref
stsb,train+test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,NCWP_no_both,5,"[42, 43, 44]",2910,7128,spearman_x100,30.7185,0.9318,1.19,0.003902,0.445355,0.089562,variant=no_both trainer=ncwp_ref
stsb,train+test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,NCWP_no_both,10,"[42, 43, 44]",2910,7128,spearman_x100,39.6665,0.8877,1.2343,0.001827,0.315077,0.081299,variant=no_both trainer=ncwp_ref
stsb,train+test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,NCWP_no_both,20,"[42, 43, 44]",2910,7128,spearman_x100,46.6495,0.0971,1.2091,0.001004,0.223169,0.0598,variant=no_both trainer=ncwp_ref
stsb,train+test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,NCWP_no_qr,5,"[42, 43, 44]",2910,7128,spearman_x100,30.8938,0.871,1.432,0.005963,0.442321,0.144027,variant=no_qr trainer=ncwp_ref
stsb,train+test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,NCWP_no_qr,10,"[42, 43, 44]",2910,7128,spearman_x100,39.9736,0.4289,1.3787,0.003796,0.313702,0.123776,variant=no_qr trainer=ncwp_ref
stsb,train+test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,NCWP_no_qr,20,"[42, 43, 44]",2910,7128,spearman_x100,46.4002,0.1815,1.4018,0.001874,0.222333,0.102691,variant=no_qr trainer=ncwp_ref
stsb,train+test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,NCWP_no_hardneg,5,"[42, 43, 44]",2910,7128,spearman_x100,30.3025,0.4742,1.1915,0.003306,0.445266,0.090656,variant=no_hardneg trainer=ncwp_ref
stsb,train+test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,NCWP_no_hardneg,10,"[42, 43, 44]",2910,7128,spearman_x100,39.5382,0.636,1.2137,0.001767,0.315188,0.077119,variant=no_hardneg trainer=ncwp_ref
stsb,train+test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,NCWP_no_hardneg,20,"[42, 43, 44]",2910,7128,spearman_x100,46.8356,0.5964,1.2368,0.000977,0.223137,0.061761,variant=no_hardneg trainer=ncwp_ref
stsb,train+test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,NCWP_no_refinement,5,"[42, 43, 44]",2910,7128,spearman_x100,30.1683,0.8669,1.216,0.003655,0.445006,0.096381,variant=no_refinement trainer=ncwp_ref
stsb,train+test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,NCWP_no_refinement,10,"[42, 43, 44]",2910,7128,spearman_x100,39.3222,0.208,1.2699,0.001849,0.315111,0.080209,variant=no_refinement trainer=ncwp_ref
stsb,train+test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,NCWP_no_refinement,20,"[42, 43, 44]",2910,7128,spearman_x100,46.575,0.2028,1.3544,0.001047,0.223058,0.066688,variant=no_refinement trainer=ncwp_ref
