dataset,split,model_nickname,hf_model_id,embedding_type,method,r,seed,metric_name,metric_value,notes,fit_size,eval_size,std_if_available
STS-avg,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,Base_mean_pool,2560,"[0, 1, 2]",spearman_x100_avg,43.7778,avg over 6 datasets,,,
STS-avg,test,qwen-4b,Qwen/Qwen1.5-4B,PromptEOL,PromptEOL,2560,"[0, 1, 2]",spearman_x100_avg,63.9409,avg over 6 datasets,,,
STS-avg,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,ABTT_full,2560,"[0, 1, 2]",spearman_x100_avg,54.7093,avg over 6 datasets,,,
STS-avg,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,ZCA_shrink_full,2560,"[0, 1, 2]",spearman_x100_avg,60.3507,avg over 6 datasets,,,
STS-avg,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,PCA_whitening,40,"[0, 1, 2]",spearman_x100_avg,47.504,avg over 6 datasets,,,
STS-avg,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,NCWP_mean_pool,40,"[0, 1, 2]",spearman_x100_avg,53.0828,avg over 6 datasets,,,
STS-avg,test,qwen-4b,Qwen/Qwen1.5-4B,PromptEOL,NCWP_on_PromptEOL,40,"[0, 1, 2]",spearman_x100_avg,65.1071,avg over 6 datasets,,,
STS-avg,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,PCA_whitening,80,"[0, 1, 2]",spearman_x100_avg,52.2806,avg over 6 datasets,,,
STS-avg,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,NCWP_mean_pool,80,"[0, 1, 2]",spearman_x100_avg,55.0718,avg over 6 datasets,,,
STS-avg,test,qwen-4b,Qwen/Qwen1.5-4B,PromptEOL,NCWP_on_PromptEOL,80,"[0, 1, 2]",spearman_x100_avg,66.498,avg over 6 datasets,,,
STS-avg,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,PCA_whitening,160,"[0, 1, 2]",spearman_x100_avg,55.9682,avg over 6 datasets,,,
STS-avg,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,NCWP_mean_pool,160,"[0, 1, 2]",spearman_x100_avg,56.7584,avg over 6 datasets,,,
STS-avg,test,qwen-4b,Qwen/Qwen1.5-4B,PromptEOL,NCWP_on_PromptEOL,160,"[0, 1, 2]",spearman_x100_avg,67.7389,avg over 6 datasets,,,
STS-avg,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,PCA_whitening,320,"[0, 1, 2]",spearman_x100_avg,58.7933,avg over 6 datasets,,,
STS-avg,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,NCWP_mean_pool,320,"[0, 1, 2]",spearman_x100_avg,57.7587,avg over 6 datasets,,,
STS-avg,test,qwen-4b,Qwen/Qwen1.5-4B,PromptEOL,NCWP_on_PromptEOL,320,"[0, 1, 2]",spearman_x100_avg,67.8998,avg over 6 datasets,,,
STS12,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,Base_mean_pool,2560,"[0, 1, 2]",spearman_x100,46.6937,,4946.0,3108.0,
STS12,test,qwen-4b,Qwen/Qwen1.5-4B,PromptEOL,PromptEOL,2560,"[0, 1, 2]",spearman_x100,52.8042,template=A pool=last,4946.0,3108.0,
STS12,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,ABTT_full,2560,"[0, 1, 2]",spearman_x100,47.9008,m=5,4946.0,3108.0,
STS12,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,ZCA_shrink_full,2560,"[0, 1, 2]",spearman_x100,50.2335,full-dim ZCA-only,4946.0,3108.0,
STS12,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,PCA_whitening,40,"[0, 1, 2]",spearman_x100,40.2577,,4946.0,3108.0,
STS12,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,NCWP_mean_pool,40,"[0, 1, 2]",spearman_x100,45.6988,ncwp_ref,4946.0,3108.0,1.1889
STS12,test,qwen-4b,Qwen/Qwen1.5-4B,PromptEOL,NCWP_on_PromptEOL,40,"[0, 1, 2]",spearman_x100,54.5902,ncwp_ref,4946.0,3108.0,0.1105
STS12,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,PCA_whitening,80,"[0, 1, 2]",spearman_x100,44.3649,,4946.0,3108.0,
STS12,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,NCWP_mean_pool,80,"[0, 1, 2]",spearman_x100,45.1579,ncwp_ref,4946.0,3108.0,0.9887
STS12,test,qwen-4b,Qwen/Qwen1.5-4B,PromptEOL,NCWP_on_PromptEOL,80,"[0, 1, 2]",spearman_x100,53.8244,ncwp_ref,4946.0,3108.0,0.828
STS12,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,PCA_whitening,160,"[0, 1, 2]",spearman_x100,48.9484,,4946.0,3108.0,
STS12,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,NCWP_mean_pool,160,"[0, 1, 2]",spearman_x100,45.8585,ncwp_ref,4946.0,3108.0,0.3259
STS12,test,qwen-4b,Qwen/Qwen1.5-4B,PromptEOL,NCWP_on_PromptEOL,160,"[0, 1, 2]",spearman_x100,53.8565,ncwp_ref,4946.0,3108.0,1.1513
STS12,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,PCA_whitening,320,"[0, 1, 2]",spearman_x100,52.3348,,4946.0,3108.0,
STS12,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,NCWP_mean_pool,320,"[0, 1, 2]",spearman_x100,46.4323,ncwp_ref,4946.0,3108.0,1.0705
STS12,test,qwen-4b,Qwen/Qwen1.5-4B,PromptEOL,NCWP_on_PromptEOL,320,"[0, 1, 2]",spearman_x100,54.1631,ncwp_ref,4946.0,3108.0,0.8288
STS13,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,Base_mean_pool,2560,"[0, 1, 2]",spearman_x100,43.8678,,2638.0,1500.0,
STS13,test,qwen-4b,Qwen/Qwen1.5-4B,PromptEOL,PromptEOL,2560,"[0, 1, 2]",spearman_x100,72.7634,template=A pool=last,2638.0,1500.0,
STS13,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,ABTT_full,2560,"[0, 1, 2]",spearman_x100,60.9793,m=5,2638.0,1500.0,
STS13,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,ZCA_shrink_full,2560,"[0, 1, 2]",spearman_x100,73.1015,full-dim ZCA-only,2638.0,1500.0,
STS13,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,PCA_whitening,40,"[0, 1, 2]",spearman_x100,50.6281,,2638.0,1500.0,
STS13,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,NCWP_mean_pool,40,"[0, 1, 2]",spearman_x100,61.0097,ncwp_ref,2638.0,1500.0,0.3895
STS13,test,qwen-4b,Qwen/Qwen1.5-4B,PromptEOL,NCWP_on_PromptEOL,40,"[0, 1, 2]",spearman_x100,72.0649,ncwp_ref,2638.0,1500.0,0.2028
STS13,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,PCA_whitening,80,"[0, 1, 2]",spearman_x100,59.8633,,2638.0,1500.0,
STS13,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,NCWP_mean_pool,80,"[0, 1, 2]",spearman_x100,63.9434,ncwp_ref,2638.0,1500.0,0.527
STS13,test,qwen-4b,Qwen/Qwen1.5-4B,PromptEOL,NCWP_on_PromptEOL,80,"[0, 1, 2]",spearman_x100,75.0973,ncwp_ref,2638.0,1500.0,0.4317
STS13,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,PCA_whitening,160,"[0, 1, 2]",spearman_x100,65.8846,,2638.0,1500.0,
STS13,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,NCWP_mean_pool,160,"[0, 1, 2]",spearman_x100,67.3486,ncwp_ref,2638.0,1500.0,0.671
STS13,test,qwen-4b,Qwen/Qwen1.5-4B,PromptEOL,NCWP_on_PromptEOL,160,"[0, 1, 2]",spearman_x100,77.3809,ncwp_ref,2638.0,1500.0,0.9119
STS13,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,PCA_whitening,320,"[0, 1, 2]",spearman_x100,70.1831,,2638.0,1500.0,
STS13,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,NCWP_mean_pool,320,"[0, 1, 2]",spearman_x100,69.0331,ncwp_ref,2638.0,1500.0,1.1463
STS13,test,qwen-4b,Qwen/Qwen1.5-4B,PromptEOL,NCWP_on_PromptEOL,320,"[0, 1, 2]",spearman_x100,77.3443,ncwp_ref,2638.0,1500.0,0.4086
STS14,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,Base_mean_pool,2560,"[0, 1, 2]",spearman_x100,35.5027,,6351.0,3750.0,
STS14,test,qwen-4b,Qwen/Qwen1.5-4B,PromptEOL,PromptEOL,2560,"[0, 1, 2]",spearman_x100,55.989,template=A pool=last,6351.0,3750.0,
STS14,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,ABTT_full,2560,"[0, 1, 2]",spearman_x100,49.1574,m=5,6351.0,3750.0,
STS14,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,ZCA_shrink_full,2560,"[0, 1, 2]",spearman_x100,59.8848,full-dim ZCA-only,6351.0,3750.0,
STS14,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,PCA_whitening,40,"[0, 1, 2]",spearman_x100,38.9951,,6351.0,3750.0,
