dataset,split,model_nickname,hf_model_id,embedding_type,method,r,seed,fit_size,eval_size,metric_name,metric_value,notes,std_if_available
stsb,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,Base_mean_pool,2560,42,2910,1379,spearman_x100,31.3107,full dim,
stsb,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,PCA_whitening,5,42,2910,1379,spearman_x100,15.3143,,
stsb,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,Soft_whitening,5,42,2910,1379,spearman_x100,14.4867,,
stsb,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,ZCA_only,5,42,2910,1379,spearman_x100,26.4851,,
stsb,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,NCWP,5,42-44,2910,1379,spearman_x100,27.9748,"seeds=[42, 43, 44]",1.3234
stsb,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,PCA_whitening,10,42,2910,1379,spearman_x100,23.4186,,
stsb,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,Soft_whitening,10,42,2910,1379,spearman_x100,21.5001,,
stsb,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,ZCA_only,10,42,2910,1379,spearman_x100,32.3339,,
stsb,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,NCWP,10,42-44,2910,1379,spearman_x100,37.4353,"seeds=[42, 43, 44]",1.3308
stsb,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,PCA_whitening,20,42,2910,1379,spearman_x100,34.3072,,
stsb,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,Soft_whitening,20,42,2910,1379,spearman_x100,30.4204,,
stsb,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,ZCA_only,20,42,2910,1379,spearman_x100,37.3075,,
stsb,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,NCWP,20,42-44,2910,1379,spearman_x100,44.9159,"seeds=[42, 43, 44]",0.7681
stsb,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,PCA_whitening,40,42,2910,1379,spearman_x100,40.444,,
stsb,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,Soft_whitening,40,42,2910,1379,spearman_x100,36.1331,,
stsb,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,ZCA_only,40,42,2910,1379,spearman_x100,38.3962,,
stsb,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,NCWP,40,42-44,2910,1379,spearman_x100,49.0187,"seeds=[42, 43, 44]",1.6985
stsb,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,PCA_whitening,80,42,2910,1379,spearman_x100,46.0076,,
stsb,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,Soft_whitening,80,42,2910,1379,spearman_x100,40.7631,,
stsb,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,ZCA_only,80,42,2910,1379,spearman_x100,42.5098,,
stsb,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,NCWP,80,42-44,2910,1379,spearman_x100,52.4799,"seeds=[42, 43, 44]",0.1893
stsb,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,PCA_whitening,160,42,2910,1379,spearman_x100,49.8985,,
stsb,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,Soft_whitening,160,42,2910,1379,spearman_x100,44.4434,,
stsb,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,ZCA_only,160,42,2910,1379,spearman_x100,47.6438,,
stsb,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,NCWP,160,42-44,2910,1379,spearman_x100,54.1778,"seeds=[42, 43, 44]",0.5064
stsb,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,PCA_whitening,320,42,2910,1379,spearman_x100,51.8709,,
stsb,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,Soft_whitening,320,42,2910,1379,spearman_x100,46.9869,,
stsb,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,ZCA_only,320,42,2910,1379,spearman_x100,51.2802,,
stsb,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,NCWP,320,42-44,2910,1379,spearman_x100,55.083,"seeds=[42, 43, 44]",0.3791
stsb,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,PCA_whitening,640,42,2910,1379,spearman_x100,53.6075,,
stsb,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,Soft_whitening,640,42,2910,1379,spearman_x100,49.3223,,
stsb,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,ZCA_only,640,42,2910,1379,spearman_x100,54.0184,,
stsb,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,NCWP,640,42-44,2910,1379,spearman_x100,55.5529,"seeds=[42, 43, 44]",0.2584
stsb,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,PCA_whitening,1280,42,2910,1379,spearman_x100,55.5432,,
stsb,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,Soft_whitening,1280,42,2910,1379,spearman_x100,51.6773,,
stsb,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,ZCA_only,1280,42,2910,1379,spearman_x100,55.7746,,
stsb,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,NCWP,1280,42-44,2910,1379,spearman_x100,56.5163,"seeds=[42, 43, 44]",0.1462
stsb,test,qwen-8b,Qwen/Qwen2-7B,mean_pool,Base_mean_pool,3584,42,2910,1379,spearman_x100,39.2693,full dim,
stsb,test,qwen-8b,Qwen/Qwen2-7B,mean_pool,PCA_whitening,7,42,2910,1379,spearman_x100,22.6646,,
