dim,method,anisotropy,self_sim,ndcg@10,ndcg@100,recall@10,recall@100,map
768,BM25,,,13.661928271237905,19.53538064073453,14.010000000000003,31.22666666666667,9.237940120747728
768,Base,0.7325303554534912,0.5364799499511719,21.467435089829337,31.04261597464413,22.778333333333336,51.03833333333334,15.436589304711248
384,PCA-White,0.0146485762670636,0.0001104293260141,19.60032566571016,27.147483835967456,20.52833333333333,42.56333333333333,13.805349914692483
384,Soft-White,0.0148541796952486,-5.474495264934376e-05,20.00390752845552,27.77609070990701,21.07333333333333,43.81166666666667,14.118633968400577
384,Random,0.0198278110474348,0.0004234978696331,19.551078941778663,28.685359726904576,20.938333333333333,47.86833333333333,13.991072632305718
384,LPP,0.0200130939483642,0.0005412435275502,20.51304240406968,29.840401503027486,22.13333333333334,49.77333333333333,14.62692311472115
192,PCA-White,0.0149745382368564,0.000294012017548,19.24599900919024,27.64190354991288,20.278333333333336,44.69500000000001,13.7071145495989
192,Soft-White,0.0151652265340089,0.0001060131835401,19.449547314254872,28.008442693895724,20.67833333333333,45.77,13.82248221457619
192,Random,0.0199599582701921,0.0005782328662462,17.98902018815037,26.80103360472995,19.31833333333333,45.28000000000001,12.773725534608724
192,LPP,0.0205231476575136,0.0001483206578996,19.444120065272124,28.88243731486343,21.21333333333333,49.24000000000001,13.718416002470136
96,PCA-White,0.0159636139869689,0.0001357847213512,16.82234009645401,25.51499064452853,18.26666666666667,43.71666666666667,11.89818142427649
96,Soft-White,0.0161307416856288,3.307711085653864e-05,16.734903963044694,25.64414534879589,18.26666666666667,44.34166666666668,11.862243478970392
96,Random,0.0206049140542745,0.0002884764107875,15.127907526243256,22.875116913917395,15.883333333333336,39.17,10.397487698406
96,LPP,0.0216275174170732,0.0005488049937412,17.647696806614345,27.000864287377603,19.378333333333337,46.976666666666674,12.463824663360027
48,PCA-White,0.0170321315526962,0.0004503737436607,11.432173297545074,20.202520648082352,13.146666666666668,39.15166666666666,8.022735439759776
48,Soft-White,0.0171441044658422,-0.0004397224402055,11.763702925336212,20.729546559897585,13.571666666666667,40.155,8.268463623391382
48,Random,0.020336190238595,1.7804966773837805e-05,9.829338078900562,16.264617642788533,10.573333333333332,29.773333333333333,6.571056997717421
48,LPP,0.0242249406874179,0.0005436128703877,14.949182062080244,23.759816458847475,16.22833333333333,42.50666666666667,10.415072042520356
24,PCA-White,0.0201471112668514,3.502030813251622e-05,8.155223376770744,16.2918377295501,9.205,33.901666666666664,5.66248625485012
24,Soft-White,0.0205318126827478,6.782807759009302e-05,8.540614919091198,16.89555503800946,9.623333333333331,34.961666666666666,5.951355842027938
24,Random,0.0294340420514345,0.0003451962256804,5.136377739117804,9.662696090722482,5.7700000000000005,19.50166666666667,3.252654505341632
24,LPP,0.0304429046809673,0.0006070880917832,10.910351923965308,18.936422591747416,11.818333333333332,35.821666666666665,7.451303683186274
12,PCA-White,0.0260896254330873,0.0016386409988626,6.329325435226302,13.289284046988875,7.351666666666665,28.635000000000005,4.364452497483617
12,Soft-White,0.0257541555911302,0.0007488964474759,6.31731982999684,13.361494344988206,7.321666666666666,28.83,4.381687832017923
12,Random,0.0313371755182743,0.0017787587130442,1.274216307846784,3.220788538288692,1.465,7.588333333333333,0.7839283261733329
12,LPP,0.0485087409615516,0.0031067701056599,4.928750852490086,11.09769857515454,5.965,24.798333333333336,3.383667162370043
6,PCA-White,0.0238790549337863,-0.0004157112562097,1.93814509389498,6.298050188555199,2.4,16.138333333333335,1.3932884946305848
6,Soft-White,0.0241349358111619,-7.328486390179023e-05,1.9467585550923847,6.3818706847627045,2.3600000000000003,16.318333333333335,1.4268364745648414
6,Random,0.0205612070858478,-0.0007642743294127,0.3364407646399952,1.3907501100733324,0.4050000000000001,3.745000000000001,0.25249602249769
6,LPP,0.064578890800476,0.0048748394474387,1.2463150077388314,4.524402943580603,1.6950000000000005,12.27,0.8562971769062023
384,NCWP,0.013950022868812,0.0001060431604855,16.74054689945816,23.75540374268655,17.663333333333334,38.105,11.621936093056442
192,NCWP,0.0149350278079509,6.126186781330034e-05,16.45292082770747,23.881601462728923,17.368333333333332,39.278333333333336,11.347063655737106
96,NCWP,0.0136743122711777,0.0002520962734706,14.825169248291289,21.8931097043672,15.598333333333333,36.47833333333333,10.047386713070887
48,NCWP,0.0142737664282321,0.0002870028838515,10.802613917101624,17.19147540690174,11.483333333333333,30.488333333333333,7.174349652574122
24,NCWP,0.0183685570955276,0.0003844513848889,6.8201191538341615,12.16581273779067,7.52,23.8,4.420127565654543
12,NCWP,0.0184494946151971,0.0011561617720872,2.3611909908534963,5.084825529050169,2.9233333333333333,11.413333333333334,1.3693090198608988
6,NCWP,0.0257241670042276,0.0004388734232634,0.6250967365181296,1.967352193358612,0.7433333333333334,5.046666666666667,0.4030032225031782
24,ZCA-only,,,7.7391793899768535,13.870988650009282,8.655000000000001,27.185000000000002,5.034767681852614
48,ZCA-only,,,12.89332813955706,20.104908170404514,13.903333333333334,35.455000000000005,8.541551910112991
96,ZCA-only,,,18.29067152504897,26.043877259633714,18.913333333333334,41.620000000000005,12.670468273073645
192,ZCA-only,,,20.13637112255623,28.13414814524383,20.883333333333336,44.156666666666666,14.20840350791889
384,ZCA-only,,,20.040122109670317,27.734969380426744,20.883333333333333,43.305,14.146366466039392
