method,dim,ndcg@10,ndcg@100,recall@10,recall@100,map
Base,4096,2.3116651233045897,4.936367288462515,2.6050000000000004,10.738333333333333,1.6031081361671675
PCA-Whitening,32,0.9104070058079067,2.1847077374012236,1.0733333333333335,5.1049999999999995,0.5611937132820036
Soft-Whitening,32,0.8372147064203137,1.972986749340283,0.9483333333333335,4.481666666666667,0.517282399862365
NCWP,32,0.8465582321358972,1.9883392602202972,0.9366666666666668,4.466666666666667,0.5841999056763694
PCA-Whitening,64,1.353204678431446,3.4270694457376245,1.6333333333333335,8.105,0.9218194324708386
Soft-Whitening,64,1.087159139832832,2.5949837408726766,1.2833333333333337,6.015000000000001,0.6891688114363091
NCWP,64,1.8680094272159955,3.413862379705061,2.1533333333333333,6.84,1.186557112086726
PCA-Whitening,128,2.722103900517116,5.67935094538979,2.9783333333333335,12.215,1.940498703236633
Soft-Whitening,128,1.5800233539593458,3.3854527017980307,1.813333333333333,7.415000000000001,1.0487610839372568
NCWP,128,2.781630493648559,4.74690323346884,2.97,9.090000000000002,1.7722766548747506
