method,dim,ndcg@10,ndcg@100,recall@10,recall@100,map
Base,2560,1.718469272127441,3.282010374603523,1.9016666666666664,6.755,1.1105394656953944
PCA-Whitening,32,0.9106446464369363,2.2498061233293574,1.0666666666666669,5.361666666666667,0.6041130462017972
Soft-Whitening,32,0.8438465335852297,2.1696489428730246,0.8816666666666667,5.036666666666665,0.5957897545357065
NCWP,32,1.0855343002981048,2.0506685423288085,1.28,4.359999999999999,0.6502181517551113
PCA-Whitening,64,1.6123333030389726,3.31350906965681,1.9766666666666666,7.4366666666666665,0.9901495796822587
Soft-Whitening,64,1.1736956994352463,2.6492779778557956,1.3066666666666666,5.945,0.775773108742017
NCWP,64,1.4648422437653499,2.6584611776505085,1.6433333333333335,5.235000000000001,0.9285444584513931
PCA-Whitening,128,2.3662290945224944,5.109614192796459,2.6900000000000004,11.366666666666667,1.6784055645886535
Soft-Whitening,128,1.5886777326203374,3.350340347793295,1.7366666666666666,7.245,1.0675856159700503
NCWP,128,2.1161953268174667,3.5509140995952997,2.3266666666666667,6.701666666666667,1.3451682199780532
