dim,method,ndcg@10,ndcg@100,recall@10,recall@100,map
768,Base,52.716989834610004,54.50512969812797,91.04267460612827,98.96414836868877,39.19189578616298
384,PCA-White,51.66920858779228,53.79413483049073,89.76677831534549,98.8258280610346,38.268514703325174
384,Soft-White,52.0272324458411,54.05277578883829,90.42302443865523,99.06711326138196,38.52095401809017
384,Random,52.81220241824312,54.60338350935549,91.09477732291279,98.9157672745317,39.29811926559989
384,LPP,52.77073898436826,54.54693038796494,91.08795434809579,98.90956457015257,39.26940546792713
192,PCA-White,52.105443054560276,54.126029278461985,90.57623123681925,99.19612951246742,38.59417499276251
192,Soft-White,52.39031539372946,54.294872492296776,91.1902989703511,99.3698052350825,38.74332509603154
192,Random,52.52184979693414,54.409974891672064,90.59483934995657,98.84009428110657,39.09397533573599
192,LPP,52.15514048288746,54.035446834402734,89.96340404416325,98.17020220816276,38.82160387721492
96,PCA-White,52.72751715587957,54.52451804268378,91.6030889467808,99.33538022577845,39.0587545439943
96,Soft-White,52.93669083964615,54.71114990123521,91.86050117851383,99.50409378489023,39.239255346699174
96,Random,52.556041700179925,54.355573161204006,90.75859074556507,98.66641855849151,39.04253950213413
96,LPP,51.251931273611305,53.203393491135365,88.4477732291279,97.10519786626968,38.04573754407794
48,PCA-White,52.21865101179981,54.23338782887668,90.61809949137826,99.36298226026548,38.70269097215287
48,Soft-White,52.140370019743166,54.22081767761031,90.47419674978292,99.46067485423644,38.67144426260691
48,Random,50.483039517825624,52.70723319828953,86.23402803622379,96.07120704627218,37.62904584720367
48,LPP,49.7091245334328,52.01255201393552,85.38735888847539,95.64508125542737,36.93506350721964
24,PCA-White,48.72462429816541,51.88256374662382,83.67789356159287,97.93325890088079,36.19861434829716
24,Soft-White,48.627795318032526,51.74225903002721,83.572447587148,97.65413720382087,36.10067211711844
24,Random,47.44778238116443,50.51880559736929,80.74897655377744,94.64055328123062,35.22274013933778
24,LPP,46.8345017916959,49.670763374576495,80.52567919612953,92.90658727205063,34.66718540440614
12,PCA-White,42.15394258845763,46.32562791359297,72.90689740726957,91.68279369805235,31.018327940034546
12,Soft-White,42.10455122411517,46.23991677866229,72.74872844560227,91.3900260513584,30.98490640219665
12,Random,38.90785724238914,43.165759582485855,66.55005582433941,86.14594963404045,28.41623974252701
12,LPP,41.96075843643888,45.54690969123224,72.23297357647934,88.43195633296116,30.78016740574284
6,PCA-White,28.834279249457566,34.24181499632687,51.51035851631312,76.17169085721373,20.65249944128781
6,Soft-White,28.914851790519453,34.303493425169464,51.67783153454906,76.28333953603772,20.69898891407827
6,Random,20.23497498849279,26.52447553626552,37.0230120332465,66.29543480957697,14.236639075352844
6,LPP,31.34321408807812,35.79497188913629,55.639498821486164,75.84108671380721,22.239655105551016
384,NCWP,50.53669815115263,53.107228165009765,87.11822354546582,97.98536161766532,37.633213271919004
192,NCWP,49.87973954143942,52.66998163414891,85.8990819997519,97.9977670264235,37.06558786666306
96,NCWP,48.99042219098128,52.13292429327879,84.50161270313858,97.93884133482199,36.43743008673192
48,NCWP,47.94909376524447,51.24702102306677,82.80858454286069,96.81646197742216,35.58719372244598
24,NCWP,45.74467427182781,49.370777957601284,79.60550800148864,95.63794814539138,33.651790156421605
12,NCWP,38.729193839371554,43.638478946198184,67.65878923210519,89.56457015258653,28.23862672661087
6,NCWP,24.001134130932527,31.15880235356896,45.536223793573996,78.1630690981268,16.921749866416853
